business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sanitary Solution Solaia,Plumber,Plumber,Plumber,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 92416 03228,N/A,5.0,,"Solaia Main Rd, Solaia, Bihar 824210",824206,24.322194099999997,84.4877365,ChIJJX1tFm-RjDkRF8F59P674Vw,https://www.google.com/maps/place/?q=place_id:ChIJJX1tFm-RjDkRF8F59P674Vw,part_384,2026-09-20 20:19:35
VIKASH WIRING & PLUMBING,Plumber,Plumber,Plumber,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 95400 82881,N/A,5.0,,"M/O-Ramna Near Gas Agency Ek Shivala Mandir, Sherghati, Bihar 824211",824206,24.556875299999998,84.78653489999999,ChIJOf0AizjPjDkRHUUza2OpHe4,https://www.google.com/maps/place/?q=place_id:ChIJOf0AizjPjDkRHUUza2OpHe4,part_384,2026-09-20 20:19:35
Mahfuz Electrician & Plumber,Plumber,Electronics repair shop,Electronics repair shop,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 87978 08601,N/A,,,"Near M.M Academy Bedauli More Rohawe, Bihar 824210",824206,24.403233699999998,84.6373042,ChIJMek7gSG_jDkRH8RJhDJWcNw,https://www.google.com/maps/place/?q=place_id:ChIJMek7gSG_jDkRH8RJhDJWcNw,part_384,2026-09-20 20:19:35
Gautam Giri,Plumber,Plumber,Plumber,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,,,"CFGV+W96, Karmaun, Bihar 824206",824206,24.4272943,84.4933758,ChIJ5RoaeQDtjDkRRLrF29-Aerc,https://www.google.com/maps/place/?q=place_id:ChIJ5RoaeQDtjDkRRLrF29-Aerc,part_384,2026-09-20 20:19:35
Saifal ka ghar,Plumber,Plumber,Plumber,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,,,"GJ8W+6M5, SH 69, Goitha, Bihar 824217",824206,24.515599299999998,84.6463239,ChIJwxsKZwDBjDkR0tSBUvIAP2k,https://www.google.com/maps/place/?q=place_id:ChIJwxsKZwDBjDkR0tSBUvIAP2k,part_384,2026-09-20 20:19:35
AQUA PLUMBING SERVICES,Plumber,Plumber,Plumber,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 97981 74825,N/A,4.9,20.0,"Jitwarpur Railway Colony, Jitwarpur, Samastipur, Bihar 848134","Jitwarpur Railway Colony, Jitwarpur",25.852396499999998,85.80381799999999,ChIJMxIEOr6R7TkRFx6rBG1yhq0,https://www.google.com/maps/place/?q=place_id:ChIJMxIEOr6R7TkRFx6rBG1yhq0,part_384,2026-09-20 20:19:36
Bhushan Traders - Plumber Shop,Plumber,Plumber,Plumber,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 72600 07178,N/A,5.0,2.0,"Hospital Road, Raniganj, Bihar 824210",824206,24.441009599999997,84.591036,ChIJycg9THLrjDkRPg6x88pEvO8,https://www.google.com/maps/place/?q=place_id:ChIJycg9THLrjDkRPg6x88pEvO8,part_384,2026-09-20 20:19:36
Plumber Wallah,Plumber,Plumber,Plumber,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 97980 40975,N/A,4.7,,"Jagdeo Path, Khajpura, Patna, Bihar 800014",Khajpura,25.6057094,85.07541669999999,ChIJ1xX6xCxX7TkRdG63czwnwl4,https://www.google.com/maps/place/?q=place_id:ChIJ1xX6xCxX7TkRdG63czwnwl4,part_384,2026-09-20 20:19:36
AFSAR PLUMBING,Plumber,Plumber,"Plumber, Plumbing supply store",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 95046 33056,N/A,4.8,,"chauhatta, Sherpur, Bihar Sharif, Bihar 803101",Sherpur,25.1915339,85.51798029999999,ChIJleHKowDz8jkRFqexolHqFNI,https://www.google.com/maps/place/?q=place_id:ChIJleHKowDz8jkRFqexolHqFNI,part_384,2026-09-20 20:19:36
Bharat Sanitary and Plumber,Plumber,Hardware store,Hardware store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 87008 91692,N/A,5.0,,"Gola Bazar Road, Neyabazar Chouraha, near Toto Stand, Sherghati, Bihar 824211",824206,24.5670659,84.8006894,ChIJgfXLEnHPjDkR637flqKvmOE,https://www.google.com/maps/place/?q=place_id:ChIJgfXLEnHPjDkR637flqKvmOE,part_384,2026-09-20 20:19:36
