business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jeevan Sathi Marriage Hall,Banquet Hall,Banquet hall,Banquet hall,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 91994 61305,N/A,,,"Substation - Dumaria, near Power Grid Road, Salaiya, Bihar 824206",824206,24.4430801,84.3865117,ChIJYYxuxlHtjDkRVdLGQIQZiLM,https://www.google.com/maps/place/?q=place_id:ChIJYYxuxlHtjDkRVdLGQIQZiLM,part_384,2026-09-20 20:19:40
Maa Gayatri Marriage Hall,Banquet Hall,Marriage celebrant,Marriage celebrant,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 94309 75393,N/A,4.8,31.0,"behind HIGH SCHOOL, near GAYATRI MANDIR, Bankey Bazar, Tanrawa, Bihar 824217",824206,24.5170839,84.6684866,ChIJX8WPB9bFjDkRIhz48N8dfuY,https://www.google.com/maps/place/?q=place_id:ChIJX8WPB9bFjDkRIhz48N8dfuY,part_384,2026-09-20 20:19:40
RR palace - Radhika Marriage Hall,Banquet Hall,Wedding venue,Wedding venue,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 90784 05613,N/A,5.0,15.0,"Dharamshala Rd, Raniganj, Bihar 824210",824206,24.436726,84.59077289999999,ChIJyfQKAwXrjDkRF14nUCvpYF8,https://www.google.com/maps/place/?q=place_id:ChIJyfQKAwXrjDkRF14nUCvpYF8,part_384,2026-09-20 20:19:40
SHIV PARVATI MARRIAGE HALL,Banquet Hall,Banquet hall,Banquet hall,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,5.0,1.0,"Bankey Bazar, Bihar 824217",824206,24.535160899999997,84.70511239999999,ChIJH-ON9AnFjDkREY_Ku_luI4g,https://www.google.com/maps/place/?q=place_id:ChIJH-ON9AnFjDkREY_Ku_luI4g,part_384,2026-09-20 20:19:40
K. P. H. MARRIAGE HALL,Banquet Hall,Hotel,Hotel,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,5.0,1.0,"GPP4+329, Bankey Bazar, Bihar 824217",824206,24.535160899999997,84.70511239999999,ChIJ_TcWJQDFjDkRoVcDooD6fQw,https://www.google.com/maps/place/?q=place_id:ChIJ_TcWJQDFjDkRoVcDooD6fQw,part_384,2026-09-20 20:19:40
ANAMTA MARRIAGE HALL,Banquet Hall,Event planner,"Event planner, Marriage celebrant",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 79822 13267,http://www.anamtamarriagehall.com/,4.9,18.0,"Adoli Chuk, near Sher-E-Bihar Hotel, Akona, Sherghati, Bihar 824211",Akona,24.574098199999998,84.7785433,ChIJbSEn9CbPjDkRG66V8tMB22o,https://www.google.com/maps/place/?q=place_id:ChIJbSEn9CbPjDkRG66V8tMB22o,part_384,2026-09-20 20:19:40
Ramrup Marriage Hall,Banquet Hall,Marriage celebrant,Marriage celebrant,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 91625 31523,N/A,3.5,2.0,"SH 69, Bankey Bazar, Tanrawa, Bihar 824217",824206,24.5163512,84.6655222,ChIJpX0NXF3BjDkRX19RbSAJSQE,https://www.google.com/maps/place/?q=place_id:ChIJpX0NXF3BjDkRX19RbSAJSQE,part_384,2026-09-20 20:19:40
HOTEL NILANCHAL PALACE,Banquet Hall,Hotel,Hotel,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 62073 73836,N/A,3.7,37.0,"Bus Stand, Imamganj Main, Raniganj Rd, Imamganj, Bihar 824206",Dangi Nagar,24.4516776,84.5857764,ChIJa4Gqy3nrjDkR7mcuBbOtox8,https://www.google.com/maps/place/?q=place_id:ChIJa4Gqy3nrjDkR7mcuBbOtox8,part_384,2026-09-20 20:19:40
Baseta Marriage Hall,Banquet Hall,Hotel,Hotel,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,,,"CHQR+7MR, Raniganj, Bihar 824210",824206,24.4382286,84.59164919999999,ChIJIXGc-ALrjDkRMbfvvu9vkaI,https://www.google.com/maps/place/?q=place_id:ChIJIXGc-ALrjDkRMbfvvu9vkaI,part_384,2026-09-20 20:19:40
Noor Community Hall,Banquet Hall,Banquet hall,Banquet hall,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 76312 86316,N/A,4.2,77.0,"Rahman Nagar Rd, Sherghati, Bihar 824211",824206,24.5572968,84.7950828,ChIJN0GOWXTPjDkRl_fW6zKe98w,https://www.google.com/maps/place/?q=place_id:ChIJN0GOWXTPjDkRl_fW6zKe98w,part_384,2026-09-20 20:19:40
