business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
RK SOUND LIGHT TENT HOUSE,Sound and Light Rental,Tent House Supplier,Tent House Supplier,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,,,"GPP4+329, Bankey Bazar, Bihar 824217",824206,24.535160899999997,84.70511239999999,ChIJvXGKAQDFjDkRtQsIaGj6WHE,https://www.google.com/maps/place/?q=place_id:ChIJvXGKAQDFjDkRtQsIaGj6WHE,part_384,2026-09-20 20:19:40
sai sound patna,Sound and Light Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, Event management company, DJ service",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 93342 81176,https://www.saisound.com/,4.8,,"Bypass Rd, near Sahid Ramgovind Singh Balika School, Dasratha, Sipara, Patna, Bihar 800002","Dasratha, Sipara",25.582061099999997,85.12312999999999,ChIJ78iSFfGn8jkRHfp6Fmo4LV0,https://www.google.com/maps/place/?q=place_id:ChIJ78iSFfGn8jkRHfp6Fmo4LV0,part_384,2026-09-20 20:19:41
Bhawani Sound,Sound and Light Rental,Interior Decorator,Interior Decorator,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,5.0,,"QGPM+RX2, Darmian, Bihar 824103",824206,24.7870079,84.53487539999999,ChIJXf6AGwDhjDkRHG-49uiuBl4,https://www.google.com/maps/place/?q=place_id:ChIJXf6AGwDhjDkRHG-49uiuBl4,part_384,2026-09-20 20:19:41
Dj AJAY sound & light house,Sound and Light Rental,DJ service,DJ service,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,4.9,,"RVWQ+GWJ, Koryabeda, Jharkhand 829107",824206,23.8463478,85.88976459999999,ChIJTSgzr-pt9DkRljnHc9HG7bM,https://www.google.com/maps/place/?q=place_id:ChIJTSgzr-pt9DkRljnHc9HG7bM,part_384,2026-09-20 20:19:41
Sunil Sound Service,Sound and Light Rental,Audio visual equipment supplier,Audio visual equipment supplier,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 80831 07382,http://sunilsoundservice.com/?utm_source=gmb&utm_medium=referral,4.8,,"Bakarganj, Patna, Bihar 800004",Bakarganj,25.6178259,85.14986449999999,ChIJbfgULXBZ7TkRUoiS2gtilKM,https://www.google.com/maps/place/?q=place_id:ChIJbfgULXBZ7TkRUoiS2gtilKM,part_384,2026-09-20 20:19:41
Munna Sound Sales And Service,Sound and Light Rental,DJ supply store,DJ supply store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 93340 47275,N/A,3.7,,"16, Gola Rd, Electronics Market, Bakarganj, Patna, Bihar 800004","Electronics Market, Bakarganj",25.6171163,85.1497162,ChIJo8cw1k9W7TkR5UAw8jkQ4k8,https://www.google.com/maps/place/?q=place_id:ChIJo8cw1k9W7TkR5UAw8jkQ4k8,part_384,2026-09-20 20:19:41
Champion Dj Sound Basdiha,Sound and Light Rental,DJ service,DJ service,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 82987 99629,N/A,4.0,,"Road, Dumariya, Basdiha, Bihar 824221",824206,24.426807099999998,84.39766,ChIJPyBJ5obzjDkRvyCvpm1G_W8,https://www.google.com/maps/place/?q=place_id:ChIJPyBJ5obzjDkRvyCvpm1G_W8,part_384,2026-09-20 20:19:41
[DJ AK.47] MAHAKAAL DJ SOUND and TENT HOUSE,Sound and Light Rental,DJ service,DJ service,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 85079 21468,N/A,3.7,,"Phulwariya, Sardam, Jori Kalan, Jharkhand 825403",824206,24.313437699999998,84.7456187,ChIJnUi0C3q7jDkR6kgiZkZ0aEg,https://www.google.com/maps/place/?q=place_id:ChIJnUi0C3q7jDkR6kgiZkZ0aEg,part_384,2026-09-20 20:19:41
Shiwani Sound,Sound and Light Rental,Night club,Night club,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 94734 95789,N/A,3.9,,"Majuraha, Motihari, Hardiya, Bihar 845402",Majuraha,26.623758,84.8924688,ChIJraoJu2Q0kzkRp7yEJBNkN6o,https://www.google.com/maps/place/?q=place_id:ChIJraoJu2Q0kzkRp7yEJBNkN6o,part_384,2026-09-20 20:19:41
Audiofusion Solutions PVT. LTD,Sound and Light Rental,Audio visual equipment supplier,Audio visual equipment supplier,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 95599 29410,https://www.audiofusionsolutions.com/,5.0,,"First Floor, 3/66, near LIC Building, Vibhav Khand -3, Vibhav Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010","Vibhav Khand -3, Vibhav Khand, Gomti Nagar",26.8638436,81.0209083,ChIJF9LrYnVZmTkRUBbDz7Qwrqc,https://www.google.com/maps/place/?q=place_id:ChIJF9LrYnVZmTkRUBbDz7Qwrqc,part_384,2026-09-20 20:19:41
