business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Laxmigrih Properties Private Limited,Commercial Real Estate Brokerages,Real estate consultant,"Real estate consultant, Commercial real estate agency, Real Estate Builders & Construction Company, Industrial real estate agency, Property investment company, Property management company, Real estate developer, Real estate rental agency",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 82695 05757,https://www.laxmigrihproperties.in/,4.9,,"Ushanand Niwas, near St. Joseph Girl High School, East Ram Krishna Nagar, Ramkrishan Nagar, Patna, Bihar 800027","East Ram Krishna Nagar, Ramkrishan Nagar",25.5808851,85.1459429,ChIJpXA0Fjmn8jkRpkSJVX7LGyE,https://www.google.com/maps/place/?q=place_id:ChIJpXA0Fjmn8jkRpkSJVX7LGyE,part_384,2026-09-20 20:19:50
AKSHAURAV REALTY AND CONSULTANCY PRIVATE LIMITED,Commercial Real Estate Brokerages,Property management company,"Property management company, Commercial real estate agency, Real Estate Builders & Construction Company, Estate appraiser, Real estate agent, Real estate consultant, Real estate developer, Real estate rental agency",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 94304 11785,https://www.akshaurav.com/,4.9,,"GROUND FLOOR, ANJANALAYA, SHASTRI NAGAR NEAR TRILOKI NATH SHIV MANDIR, Jawaharlal Nehru Marg, Sheikhpura, Patna, Bihar 800014",Sheikhpura,25.6083818,85.09462219999999,ChIJr-ABvoJX7TkRgxllf7spPE4,https://www.google.com/maps/place/?q=place_id:ChIJr-ABvoJX7TkRgxllf7spPE4,part_384,2026-09-20 20:19:50
Property selling and buying,Commercial Real Estate Brokerages,Commercial agent,"Commercial agent, Service establishment",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,5.0,,"Property selling and buying, 824206, India",824206,27.1381928,80.8593042,ChIJ4RM2QXzDdTkRPq_oyyO7i-4,https://www.google.com/maps/place/?q=place_id:ChIJ4RM2QXzDdTkRPq_oyyO7i-4,part_384,2026-09-20 20:19:50
HOMEway,Commercial Real Estate Brokerages,Real estate consultant,"Real estate consultant, Commercial real estate agency, Service establishment, Office space rental agency, Real estate rental agency",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 87389 19091,http://www.homeway.co.in/,5.0,,"HOMEway, 824206, India",824206,20.294633599999997,82.0977722,ChIJcUy_gEM7gSQRut4dKqB2waA,https://www.google.com/maps/place/?q=place_id:ChIJcUy_gEM7gSQRut4dKqB2waA,part_384,2026-09-20 20:19:50
Madhusudan Property Dealer,Commercial Real Estate Brokerages,Real estate consultant,Real estate consultant,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 79033 02681,http://www.madhusudandevelopers.com/,4.9,,"Madhusudan Property Dealer, Madhusudan Complex, opposite Gyansthali School, Sampatchak, Bihar 800007",824206,25.544238099999998,85.17886759999999,ChIJYcEJjuKn8jkRIKZm7LRHkp0,https://www.google.com/maps/place/?q=place_id:ChIJYcEJjuKn8jkRIKZm7LRHkp0,part_384,2026-09-20 20:19:50
REAL ESTATE BIHAR,Commercial Real Estate Brokerages,Real estate consultant,Real estate consultant,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 81025 34462,https://realestatebihar.in/,5.0,,"Danapur - Khagaul Rd, Kaliket Nagar, Danapur, Patna, Bihar 801503",Kaliket Nagar,25.615902199999997,85.04218329999999,ChIJQ3EUpCRX7TkRgRRLWHNMTB8,https://www.google.com/maps/place/?q=place_id:ChIJQ3EUpCRX7TkRgRRLWHNMTB8,part_384,2026-09-20 20:19:50
Charvik Real Estate Pvt. Ltd.,Commercial Real Estate Brokerages,Real estate consultant,Real estate consultant,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 83184 18788,https://www.charvikrealestate.com/,5.0,,"First Floor, Charvik, Real Estate Building, Kandwa Rd, Chandrama Nagar, Chitaipur, Varanasi, Uttar Pradesh 221106","Chandrama Nagar, Chitaipur",25.2698197,82.9642296,ChIJpba_XaAzjjkRTS1H6WWaVIo,https://www.google.com/maps/place/?q=place_id:ChIJpba_XaAzjjkRTS1H6WWaVIo,part_384,2026-09-20 20:19:50
Hind Realtors Pvt Ltd {Hind Properties},Commercial Real Estate Brokerages,Commercial real estate agency,"Commercial real estate agency, Property investment company, Property maintenance, Property management company, Real estate appraiser, Real estate attorney, Real estate consultant, Real estate developer, Real estate rental agency, Real estate surveyor",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 99352 22488,N/A,4.0,,"Raghaw Nagar, Sankuldhara, Khojwan, Varanasi, Uttar Pradesh 221010","Sankuldhara, Khojwan, Bajardiha",25.295581499999997,82.9907788,ChIJaSHO1gIyjjkRcd3xJ5MNnY0,https://www.google.com/maps/place/?q=place_id:ChIJaSHO1gIyjjkRcd3xJ5MNnY0,part_384,2026-09-20 20:19:50
Maheshwari Realcon Pvt. Ltd.,Commercial Real Estate Brokerages,Industrial real estate agency,Industrial real estate agency,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 97083 09999,N/A,4.7,,"Sri Niwas Avenue, 4th Floor Saguna More, Opposite: IndusInd Bank, Bihar 801503","Saguna More, Kaliket Nagar",25.6220219,85.041882,ChIJEwx_j1tX7TkR-XJjy-BI3_8,https://www.google.com/maps/place/?q=place_id:ChIJEwx_j1tX7TkR-XJjy-BI3_8,part_384,2026-09-20 20:19:50
Malhotra Property Home,Commercial Real Estate Brokerages,Real estate consultant,Real estate consultant,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 96933 04720,http://www.mathotrapropertyhome.com/,4.1,,"Malhotra property homeSouth Of Piler, 13, Bailey Rd, Jagdeo Path, Patna, Bihar 800014","Jagdeo Path, Khajpura",25.6057421,85.07485299999999,ChIJGdpgq7dX7TkRX51h04mP1Sk,https://www.google.com/maps/place/?q=place_id:ChIJGdpgq7dX7TkRX51h04mP1Sk,part_384,2026-09-20 20:19:50
DELCON HOMES PVT. LTD.,Commercial Real Estate Brokerages,Real estate agency,Real estate agency,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 612 223 3636,https://www.delconhomes.com/,4.3,,"705, Patna One Mall, New Dak Bunglow Rd, Bander Bagicha, Fraser Road Area, Patna, Bihar 800001","Bander Bagicha, Fraser Road Area",25.6098319,85.136622,ChIJxf2MO0NY7TkRUYdXFNJRo3M,https://www.google.com/maps/place/?q=place_id:ChIJxf2MO0NY7TkRUYdXFNJRo3M,part_384,2026-09-20 20:19:50
Mithila Property,Commercial Real Estate Brokerages,Real estate agency,"Real estate agency, Home builder",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 87578 67727,http://www.mithilaproperty.com/,3.5,,"near Yogee tej central Public School, Sankat Mochan Colony, Mangalbani, Madhubani, Bihar 847211","Sankat Mochan Colony, Mangalbani",26.3605251,86.0744076,ChIJf4SWnTg27DkR0QZtSTtCZ9Q,https://www.google.com/maps/place/?q=place_id:ChIJf4SWnTg27DkR0QZtSTtCZ9Q,part_384,2026-09-20 20:19:50
Rudraksh Property Dealer,Commercial Real Estate Brokerages,Property administration service,"Property administration service, Industrial real estate agency, Property investment company, Property maintenance, Retail space rental agency",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 89575 63804,https://rudrakhsaproperties.in/,4.5,,"Sigra Chauraha Rd, near Handloom House Shop, opposite Viswanath Card Building, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010","Chhittupura, Sigra",25.313397199999997,82.9888893,ChIJhbdbF_wtjjkR6H9mliCIO_s,https://www.google.com/maps/place/?q=place_id:ChIJhbdbF_wtjjkR6H9mliCIO_s,part_384,2026-09-20 20:19:50
RealEstateIndia.com,Commercial Real Estate Brokerages,Real estate agent,"Real estate agent, Commercial agent, Commercial real estate agency, Real Estate Builders & Construction Company, Industrial real estate agency",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 89291 75327,https://www.realestateindia.com/,4.1,,"33/33A, Metro Station, Rama Rd, near Kirti Nagar, Industrial Area, Kirti Nagar, New Delhi, Delhi, 110015","Industrial Area, Kirti Nagar",28.6604504,77.1518363,ChIJGzhUYRcDDTkRIqjLQ7A2D_8,https://www.google.com/maps/place/?q=place_id:ChIJGzhUYRcDDTkRIqjLQ7A2D_8,part_384,2026-09-20 20:19:50
Patna Property & To-Let Service,Commercial Real Estate Brokerages,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,5.0,,"Munna Chowk, Parvathi Path, New Chitragupta Nagar, Kankarbagh, Bankman Colony, Patna, Bihar 800020","New Chitragupta Nagar, Kankarbagh, Bankman Colony",25.5990756,85.1662715,ChIJP2GmOABZ7TkRS-vqhZ7_7lw,https://www.google.com/maps/place/?q=place_id:ChIJP2GmOABZ7TkRS-vqhZ7_7lw,part_384,2026-09-20 20:19:50
