business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SPG Commercial Complex,Commercial Complex,Corporate office,Corporate office,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 6582 256 123,N/A,,,"Room -13 , 14, Purty Complex, Tambo Chowk, Chaibasa, Jharkhand 833201",833215,22.5474364,85.80253739999999,ChIJq6qqqp4nHjoRwRGeH_cpp4Q,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqp4nHjoRwRGeH_cpp4Q,part_389,2026-09-20 20:20:03,5938
F.S.Tower,Commercial Complex,Shopping mall,Shopping mall,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,3.9,17.0,"FS tower, Amala Tola Road, Chaibasa, Jharkhand 833201",833215,22.549350999999998,85.8077579,ChIJ_8115cAnHjoR9dtRI6Ymgnk,https://www.google.com/maps/place/?q=place_id:ChIJ_8115cAnHjoR9dtRI6Ymgnk,part_389,2026-09-20 20:20:03,5939
99/199 mall alda niwas 1st floor,Commercial Complex,Grocery store,Grocery store,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,3.8,6.0,"GRP3+J67, NH 20, Chaibasa, Jharkhand 833201",833215,22.5365345,85.80303169999999,ChIJ__EuVgAnHjoR75ZbkQ42KNI,https://www.google.com/maps/place/?q=place_id:ChIJ__EuVgAnHjoR75ZbkQ42KNI,part_389,2026-09-20 20:20:03,5940
Jaswa commercial building,Commercial Complex,Convenience store,Convenience store,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,,,"HQ7W+9CP, Suphalsai chowk, Chaibasa, Jharkhand 833201",833215,22.5634625,85.79608309999999,ChIJT7b4dQAnHjoRrjxZbQxckqU,https://www.google.com/maps/place/?q=place_id:ChIJT7b4dQAnHjoRrjxZbQxckqU,part_389,2026-09-20 20:20:03,5941
The K.C.Paul,Commercial Complex,Shopping mall,Shopping mall,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,3.7,46.0,"Sadar Bazaar, Chaibasa, Jharkhand 833201",Sadar Bazaar,22.548307299999998,85.8057762,ChIJq6qq2p0nHjoRwH8Og9P3DW4,https://www.google.com/maps/place/?q=place_id:ChIJq6qq2p0nHjoRwH8Og9P3DW4,part_389,2026-09-20 20:20:03,5942
HODA TOWER,Commercial Complex,Apartment building,Apartment building,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,5.0,,"HR43+934, Sentola, Chaibasa, Jharkhand 833201",Sentola,22.5559723,85.8026802,ChIJS1v8zGknHjoR48bXm16TJWc,https://www.google.com/maps/place/?q=place_id:ChIJS1v8zGknHjoR48bXm16TJWc,part_389,2026-09-20 20:20:04,5943
Tarun Complex Rajkharsawan,Commercial Complex,Shopping mall,Shopping mall,833216,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Kharsawangarh SO, Arwan BO, Chhota Bandi BO",+91 91554 71000,http://www.taruncomplex.com/,5.0,14.0,"Jayguru chowk, Rajkharsawan, Bara Amda, Jharkhand 833101",833216,22.7339685,85.8160996,ChIJz9Q6cq6P9TkRnHxquccAJYU,https://www.google.com/maps/place/?q=place_id:ChIJz9Q6cq6P9TkRnHxquccAJYU,part_389,2026-09-20 20:20:50,10083
Tarun Complex Amda,Commercial Complex,General store,General store,833216,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Kharsawangarh SO, Arwan BO, Chhota Bandi BO",N/A,N/A,,,"PRM8+RF6, Bara Amda, Jharkhand 833101",833216,22.734542899999997,85.8161554,ChIJoyTMXwCP9TkRgi22QW0eEgM,https://www.google.com/maps/place/?q=place_id:ChIJoyTMXwCP9TkRgi22QW0eEgM,part_389,2026-09-20 20:20:50,10084
Naya Bazaar,Commercial Complex,Shopping mall,Shopping mall,833216,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Kharsawangarh SO, Arwan BO, Chhota Bandi BO",N/A,N/A,3.9,10.0,"PRP8+76G, Bara Amda, Jharkhand 833101",833216,22.7356877,85.81558869999999,ChIJu1-yAzeO9TkR3F82eeS3kvE,https://www.google.com/maps/place/?q=place_id:ChIJu1-yAzeO9TkR3F82eeS3kvE,part_389,2026-09-20 20:20:50,10085
Mangudih,Commercial Complex,Shopping mall,Shopping mall,833216,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Kharsawangarh SO, Arwan BO, Chhota Bandi BO",N/A,N/A,5.0,1.0,"QQVJ+935, Mangudih, Jharkhand 833216",833216,22.7933982,85.78023209999999,ChIJ2eb-aACR9TkRFRY1ndvJd08,https://www.google.com/maps/place/?q=place_id:ChIJ2eb-aACR9TkRFRY1ndvJd08,part_389,2026-09-20 20:20:50,10086
