business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Chaibasa Car driving class,Driving School,Driving school,Driving school,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 92632 35589,N/A,5.0,104.0,"Dibri market, Mahulsai Rd, near Flipkart office, near Royal Enfield showroom, Chaibasa, Gitilpi, Jharkhand 833201",833215,22.5330743,85.803445,ChIJO_DKWrwnHjoRD4SLCE9bUuI,https://www.google.com/maps/place/?q=place_id:ChIJO_DKWrwnHjoRD4SLCE9bUuI,part_389,2026-09-20 20:19:36,2374
JHARKHAND MOTOR DRIVING TRAINING SCHOOL CHAIBASA,Driving School,Driving school,Driving school,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 92349 69141,N/A,4.9,12.0,"CHOWK, COLLEGE MORE, AT, Gitilpi, Chaibasa, Jharkhand 833202",AT,22.5232708,85.80807209999999,ChIJ1-8PBvUnHjoR5-Fsh2_y9VA,https://www.google.com/maps/place/?q=place_id:ChIJ1-8PBvUnHjoR5-Fsh2_y9VA,part_389,2026-09-20 20:19:36,2375
TRTC (Tribal Research and Training Centre),Driving School,Education and culture,Education and culture,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,4.1,152.0,"GQM7+RWC, lupungutu Rd, Chaibasa, Khunta, Jharkhand 833204",Chaibasa,22.534551399999998,85.7647789,ChIJBXTxd3YoHjoRTxr1tUScPmA,https://www.google.com/maps/place/?q=place_id:ChIJBXTxd3YoHjoRTxr1tUScPmA,part_389,2026-09-20 20:19:36,2376
"Birua Tech Academy, Chaibasa",Driving School,Training center,"Training center, School",833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,http://allexamtest.in/,5.0,3.0,"Mahulsai Rd, near Shailesh Garage, near Honda Showroom, Chaibasa, Jharkhand 833201",833215,22.5382452,85.8028951,ChIJHSIWsFknHjoRfpR44etAJHY,https://www.google.com/maps/place/?q=place_id:ChIJHSIWsFknHjoRfpR44etAJHY,part_389,2026-09-20 20:19:36,2377
Jamuda Driver Dalki,Driving School,Driving school,Driving school,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,,,"FP5V+VC4, Dalki, Jharkhand 833215",833215,22.459645,85.74359059999999,ChIJGy7_UQAvHjoR-eTFc2u5yww,https://www.google.com/maps/place/?q=place_id:ChIJGy7_UQAvHjoR-eTFc2u5yww,part_389,2026-09-20 20:19:36,2378
Birsa motor driving training school,Driving School,Driving school,Driving school,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,5.0,1.0,"Bharat Bhawan, Post, distribution, Chakradharpur, Jharkhand 833102",distribution,22.672759499999998,85.6194628,ChIJPXRbaEWD9TkRnSIIqya6fSs,https://www.google.com/maps/place/?q=place_id:ChIJPXRbaEWD9TkRnSIIqya6fSs,part_389,2026-09-20 20:19:37,2379
J. CAR DRIVING SCHOOL,Driving School,Driving school,Driving school,833216,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Kharsawangarh SO, Arwan BO, Chhota Bandi BO",+91 88049 15263,http://www.jharkhandinstitute.org/,4.6,254.0,"R6Q6+3R9 Ayesha Petrol Pump, Road No. 14, Baganshahi, Mango, Jamshedpur, Jharkhand 831012","Baganshahi, Mango",22.8376582,86.21211939999999,ChIJi7DSbk_j9TkRrTJHgKnMG3A,https://www.google.com/maps/place/?q=place_id:ChIJi7DSbk_j9TkRrTJHgKnMG3A,part_389,2026-09-20 20:20:22,7842
Nag's Motor Training Institute,Driving School,Driving school,Driving school,833216,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Kharsawangarh SO, Arwan BO, Chhota Bandi BO",+91 94311 19999,https://nagsmotor.com/,4.8,176.0,"post office, 1, bandi, road, near sakchi, Jamshedpur, Jharkhand 831001","SNP Area, Ambagan, Sakchi",22.8047623,86.2028402,ChIJvSjWQg7j9TkR1o1C6toNUHM,https://www.google.com/maps/place/?q=place_id:ChIJvSjWQg7j9TkR1o1C6toNUHM,part_389,2026-09-20 20:20:22,7843
Shiv Motor Training School,Driving School,Driving school,"Driving school, Motorcycle driving school",833216,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Kharsawangarh SO, Arwan BO, Chhota Bandi BO",+91 70042 67620,https://www.shivdrivingschool.in/,4.1,102.0,"EW-004, Near Bara Flat, Timken Co.,Sidhgora, Jamshedpur, Jharkhand 831009",Sidhgora,22.8060714,86.2320239,ChIJIVaIw_Pi9TkRQ7cRZm2HoVA,https://www.google.com/maps/place/?q=place_id:ChIJIVaIw_Pi9TkRQ7cRZm2HoVA,part_389,2026-09-20 20:20:22,7844
"Rimtech Driving School, Govt. Regd.",Driving School,Driving school,Driving school,833216,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Kharsawangarh SO, Arwan BO, Chhota Bandi BO",+91 94373 20846,N/A,4.9,220.0,"Sakiladihi, near Rimtech Kids School, Rairangpur, Odisha 757043",Defence Colony,22.2760848,86.1724279,ChIJ11AzhtUNHjoRz-ziLHJ64Go,https://www.google.com/maps/place/?q=place_id:ChIJ11AzhtUNHjoRz-ziLHJ64Go,part_389,2026-09-20 20:20:22,7845
