business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Theraphy World Spa,Spa,Massage spa,Massage spa,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 82921 41547,N/A,4.5,16.0,"Ward No II, Ramgarh Cantonment, Jharkhand 829122",829105,23.636230599999998,85.5140788,ChIJs3T00P3z9DkR0HteADuWZDM,https://www.google.com/maps/place/?q=place_id:ChIJs3T00P3z9DkR0HteADuWZDM,part_387,2026-09-20 20:20:13
A R ANGEL SPA AND SALOON,Spa,Massage spa,Massage spa,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",N/A,N/A,,,"FOUR LINE NH 33 BYPASS, ROAD, Kaitha, Ramgarh Cantonment, Jharkhand 825101",829105,23.5996541,85.5323001,ChIJ7dD9X-X39DkRFRH_bM57yyI,https://www.google.com/maps/place/?q=place_id:ChIJ7dD9X-X39DkRFRH_bM57yyI,part_387,2026-09-20 20:20:13
Ganak complec,Spa,Massage spa,Massage spa,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",N/A,N/A,3.8,71.0,"Ward No II, Ramgarh Cantonment, Jharkhand 829122",829105,23.636230599999998,85.5140788,ChIJ62udEQDz9DkRHQDaG4KjfPg,https://www.google.com/maps/place/?q=place_id:ChIJ62udEQDz9DkRHQDaG4KjfPg,part_387,2026-09-20 20:20:13
Therapy World Spa,Spa,Massage therapist,Massage therapist,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 82921 41547,N/A,3.7,3.0,"Ward, Street No. 2, Bhurkunda, Jharkhand 829135",829105,23.6641606,85.3697031,ChIJpbcFPqzt9DkRnzRBVUZfiHw,https://www.google.com/maps/place/?q=place_id:ChIJpbcFPqzt9DkRnzRBVUZfiHw,part_387,2026-09-20 20:20:13
Thai Spa Jaipur,Spa,Spa,"Spa, Massage spa",829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 73000 06987,https://gmbwale.com/Thaispainjaipur/,4.9,681.0,"Metro Pillar No: 112, New Sanganer Rd, Saket Nagar, Sodala, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302006","Saket Nagar, Sodala",26.8948483,75.7697682,ChIJaTu0Kcq1bTkRrPTP9XSp7YA,https://www.google.com/maps/place/?q=place_id:ChIJaTu0Kcq1bTkRrPTP9XSp7YA,part_387,2026-09-20 20:20:14
Namaste Thai Spa,Spa,Spa,"Spa, Massage supply store, Thai massage therapist",829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 92566 30662,N/A,4.3,6.0,"Plot no 408, Gali Number 2, near hotel my stay home, opposite choice galary, Raja Park, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302004",Raja Park,26.8945841,75.82826899999999,ChIJaWko0WW3bTkRwtDgZnnzLEI,https://www.google.com/maps/place/?q=place_id:ChIJaWko0WW3bTkRwtDgZnnzLEI,part_387,2026-09-20 20:20:14
OZO Relex Thai Spa,Spa,Massage spa,"Massage spa, Spa",829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 80705 55557,N/A,4.3,28.0,"79 -A, metro near 79 -A, Ajmer Rd, near Railway station, Kalwar Scheme, Gopalbari, Jaipur, Rajasthan 302006","Kalwar Scheme, Gopalbari",26.916256699999998,75.79184169999999,ChIJfymXwFW1bTkRZpWthZHqOYg,https://www.google.com/maps/place/?q=place_id:ChIJfymXwFW1bTkRZpWthZHqOYg,part_387,2026-09-20 20:20:14
Aura Spa,Spa,Beauty Parlour,Beauty Parlour,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 99978 51808,N/A,4.7,81.0,"Road, Model Colony, Araghar, Race Course, Dehradun, Uttarakhand 248001","Model Colony, Araghar, Race Course",30.309544799999998,78.0489135,ChIJu-A6QwApCTkR7AvXL_dqYro,https://www.google.com/maps/place/?q=place_id:ChIJu-A6QwApCTkR7AvXL_dqYro,part_387,2026-09-20 20:20:14
The Luxury Spa,Spa,Spa,Spa,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",N/A,N/A,3.0,2.0,"7XMX+8GW, Morowala, Subhash Nagar, Dehradun, Uttarakhand 248002","Morowala, Subhash Nagar",30.2833585,77.9988259,ChIJLVYkQQArCTkRKqAVaR5He4M,https://www.google.com/maps/place/?q=place_id:ChIJLVYkQQArCTkRKqAVaR5He4M,part_387,2026-09-20 20:20:14
Umang Luxury Spa,Spa,Health and beauty shop,Health and beauty shop,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 99507 42270,N/A,5.0,1.0,"1 St Floor, Shankar Marg, near by Sbji Mandi, Lalkothi, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302015",Lalkothi,26.8833944,75.7968811,ChIJlQhE2aC1bTkRck78yYzVPog,https://www.google.com/maps/place/?q=place_id:ChIJlQhE2aC1bTkRck78yYzVPog,part_387,2026-09-20 20:20:14
Cloud 99 SPA | Spa In Indore | Best Thai Spa In Indore,Spa,Spa and health club,"Spa and health club, Massage spa, Spa, Thai massage therapist",829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 90093 71820,https://www.cloud99spainindore.com/,4.8,634.0,"Anex, Satya Sai Square, Shop No. 101 1st Floor, Ankur, opposite ondoor, Indore, Madhya Pradesh 452010",Scheme No 54,22.7557507,75.8944047,ChIJwRkhx6MDYzkRk8R-e0jFkic,https://www.google.com/maps/place/?q=place_id:ChIJwRkhx6MDYzkRk8R-e0jFkic,part_387,2026-09-20 20:20:14
