business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Charming Salon and Academy,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Beautician, Eyelash salon, Make-up artist, Nail salon",829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 98353 34774,https://www.instagram.com/_charming_salon_/,4.3,,"R. S Complex, Main Rd, Phusro, Jharkhand 825102",829104,23.764652599999998,85.9971789,ChIJ_f0Cvi0V9DkRzliVmCQGTDs,https://www.google.com/maps/place/?q=place_id:ChIJ_f0Cvi0V9DkRzliVmCQGTDs,part_387,2026-09-20 20:19:34
rlaunch-salon-phusro,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Make-up artist, Facial spa, Hair removal service, Hair salon, Tanning salon",829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 79923 87094,https://rlaunch.in/rlaunch-salon-phusro,4.8,,"Main Rd, Meghdoot Market, Phusro, Jharkhand 825102",Meghdoot Market,23.7641518,85.99811,ChIJ3zfy_OAV9DkRMC6Ybvl9dgU,https://www.google.com/maps/place/?q=place_id:ChIJ3zfy_OAV9DkRMC6Ybvl9dgU,part_387,2026-09-20 20:19:34
Pompy Makeup Studio & Salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 87899 46065,N/A,4.4,,"Main market, Bankmore, opposite of over bridge, Phusro, Jharkhand 825102",829104,23.7655812,85.9999845,ChIJFTzwJU0V9DkR-ElTRHZIMbI,https://www.google.com/maps/place/?q=place_id:ChIJFTzwJU0V9DkR-ElTRHZIMbI,part_387,2026-09-20 20:19:34
Studio A1 Salon & Spa Bokaro,Beauty Parlour,Beauty Parlour,Beauty Parlour,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 82940 43335,https://www.studio11.co/find-a-salon,4.7,,"City Centre, B-25, above Rainwo Restaurant, near Khata Mitha, Sector 4, Bokaro Steel City, Jharkhand 827004",Sector 4,23.6673884,86.14330199999999,ChIJkUAmaTQi9DkRk3UyuoVa64M,https://www.google.com/maps/place/?q=place_id:ChIJkUAmaTQi9DkRk3UyuoVa64M,part_387,2026-09-20 20:19:34
THE CLASSIC CHARM FAMILY SALON,Beauty Parlour,Make-up artist,Make-up artist,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 87979 79294,N/A,4.7,,"SECOND FLOOR, AMBEY COMPLEX, Jena, Bokaro Steel City, Jaina, Jharkhand 829301",Jena,23.667744799999998,86.0198103,ChIJh-e6N5899DkRzzVKveDT_Kg,https://www.google.com/maps/place/?q=place_id:ChIJh-e6N5899DkRzzVKveDT_Kg,part_387,2026-09-20 20:19:34
HABIBS Hair & Beauty,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Make-up artist, Nail salon, Hairdresser",829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 88252 20372,https://habibsmf.in/india/habibs-hair-beauty-bokaro/,4.8,,"ground floor, Harshwardhan plaza, near trimurti jewellers, City Center, sector 04, Sector 4, Bokaro Steel City, Jharkhand 827004","City Center, sector 04, Sector 4",23.6682871,86.1443735,ChIJ9YVKfBMj9DkRgXbRQTM4gHM,https://www.google.com/maps/place/?q=place_id:ChIJ9YVKfBMj9DkRgXbRQTM4gHM,part_387,2026-09-20 20:19:34
Raju hair cutting,Beauty Parlour,Beauty Parlour,Beauty Parlour,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 99343 48354,N/A,3.5,,"QXJJ+FP7, Bokaro, Jharkhand 825102",829104,23.781170499999998,85.9817923,ChIJB2zGtUIU9DkRlnTwusxMGe8,https://www.google.com/maps/place/?q=place_id:ChIJB2zGtUIU9DkRlnTwusxMGe8,part_387,2026-09-20 20:19:34
Nandini Beauty Parlor And Cosmetic,Beauty Parlour,Beauty product supplier,Beauty product supplier,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",N/A,N/A,5.0,,"H. No. -1336, Q. No. -1B/10, Bokaro Steel City, Jharkhand 825102",829104,23.781886999999998,85.981979,ChIJJbn3et8V9DkR9O1iSXlUBjQ,https://www.google.com/maps/place/?q=place_id:ChIJJbn3et8V9DkR9O1iSXlUBjQ,part_387,2026-09-20 20:19:34
GK STYLOPEDIA unisex salon,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Facial spa, Make-up artist, Hairdresser",829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 82106 86349,https://gk-stylopedia-unisex.grexa.site/,4.9,,"plot no.- GB 19, City Center, Sector 4, Bokaro Steel City, Jharkhand 827004","City Center, Sector 4",23.666828199999998,86.1458455,ChIJG-HMBXcj9DkRpa71or4EjL0,https://www.google.com/maps/place/?q=place_id:ChIJG-HMBXcj9DkRpa71or4EjL0,part_387,2026-09-20 20:19:34
The Glamora Salon by Tanya,Beauty Parlour,Beauty Parlour,Beauty Parlour,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 98355 57452,https://www.theglamorasalon.com/,4.7,,"1st Floor, Plot no. C/25C, near Police line, City Center, Sector 4, Bokaro Steel City, Jharkhand 827004","City Center, Sector 4",23.666436299999997,86.14511449999999,ChIJjRIqDBEj9DkRFDcpRJmDZvs,https://www.google.com/maps/place/?q=place_id:ChIJjRIqDBEj9DkRFDcpRJmDZvs,part_387,2026-09-20 20:19:34
The Salon,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Hair removal service, Make-up artist",829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 91995 54111,https://sites.google.com/view/thesalonpremium?usp=sharing,4.8,,"City Centre, JB-3, near Mathur Dental Clinic, Sector 4, Bokaro Steel City, Jharkhand 827004",Sector 4,23.6669634,86.1495942,ChIJX5BhO5Mj9DkROPznhFsOQng,https://www.google.com/maps/place/?q=place_id:ChIJX5BhO5Mj9DkROPznhFsOQng,part_387,2026-09-20 20:19:34
Khushboo beauty parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 98355 49662,N/A,4.2,,"Phusro, Jharkhand 825102",829104,23.7644172,85.9982759,ChIJy-C2CAAV9DkR8Fot09mAS-I,https://www.google.com/maps/place/?q=place_id:ChIJy-C2CAAV9DkR8Fot09mAS-I,part_387,2026-09-20 20:19:34
Elite Shine Studio,Beauty Parlour,Beauty Parlour,Beauty Parlour,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 70504 50095,N/A,5.0,,"Qt. no, GE 3 Sec, near Hp gas Agency, Sector 4, Bokaro Steel City, Jharkhand 827004",Sector 4,23.673985,86.1497383,ChIJucDEzZUj9DkRf41DOVXNp6I,https://www.google.com/maps/place/?q=place_id:ChIJucDEzZUj9DkRf41DOVXNp6I,part_387,2026-09-20 20:19:34
The Family Salon,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Hairdresser",829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 75490 45313,N/A,4.1,,"HD -15, City Center, Sector 4, Bokaro Steel City, Jharkhand 827004","City Center, Sector 4",23.6673536,86.1469548,ChIJc-vj17Ij9DkRmvDHmluU_NQ,https://www.google.com/maps/place/?q=place_id:ChIJc-vj17Ij9DkRmvDHmluU_NQ,part_387,2026-09-20 20:19:34
Dulhan Beauty Parlour & Ladies Saloon,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Beautician, Bridal shop, Facial spa, Foot massage parlor, Hair removal service, Make-up artist, Massage spa, Nail salon, Hairdresser",829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 86512 80623,N/A,4.5,,"B Rd, Sector 9, Bokaro Steel City, Jharkhand 827009",Sector 9,23.6911272,86.14873159999999,ChIJtfc_DkIi9DkRrEUedcVaTaw,https://www.google.com/maps/place/?q=place_id:ChIJtfc_DkIi9DkRrEUedcVaTaw,part_387,2026-09-20 20:19:34
