business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
UTL Solar - Pradeep Electricals,Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,"Solar energy equipment supplier, Battery Store, Solar energy system service",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 92508 85885,https://dealers.upsinverter.com/utl-solar/ranchi/Bero/utl-solar-shoppe-in-Bero-ranchi--77Yemx/home,5.0,1.0,"Shop No 3, nearby Devi Mandap Chowk, Bero, Jharkhand 835202",835223,23.2972698,85.02228679999999,ChIJZ2zYk_kr9TkRFzvCZI-23Eo,https://www.google.com/maps/place/?q=place_id:ChIJZ2zYk_kr9TkRFzvCZI-23Eo,part_390,2026-09-20 20:19:42
Solar Panels Wholesaler_ sonu_man Enterprises,Solar Rooftop and Inverter Dealer,Solar Energy Company,"Solar Energy Company, Service establishment",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,https://www.loomsolar.com/,5.0,2.0,"Solar Panels Wholesaler_ sonu_man Enterprises, 835223, India",835223,23.9989453,84.8065326,ChIJdbZkodpNizkRaV75nVK-s8g,https://www.google.com/maps/place/?q=place_id:ChIJdbZkodpNizkRaV75nVK-s8g,part_390,2026-09-20 20:19:42
Mirai Solar Solutions,Solar Rooftop and Inverter Dealer,Solar energy system service,Solar energy system service,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 95721 33533,http://miraisolarsolutions.com/,5.0,13.0,"Ashram Gali, Jitpur, Gomoh, Jharkhand 828401",Jitpur,23.860915799999997,86.1482465,ChIJbwa_WPAb9DkR83izQPAGZBQ,https://www.google.com/maps/place/?q=place_id:ChIJbwa_WPAb9DkR83izQPAGZBQ,part_390,2026-09-20 20:19:42
Kpm Solar Energy,Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,Solar energy equipment supplier,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 74775 50766,http://www.kpmsolarenergy.in/,5.0,4.0,"Check Post, Shop -3 Ground Floor, Bimala Complex, Main Rd, Chas, Jharkhand 827013",Chas,23.638742,86.1595356,ChIJ523Ft-Ij9DkRlRERTblctK0,https://www.google.com/maps/place/?q=place_id:ChIJ523Ft-Ij9DkRlRERTblctK0,part_390,2026-09-20 20:19:42
Powerhelia Energy Solutions,Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,"Solar energy equipment supplier, Consultant, Electrical installation service, Solar energy system service",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 76018 07271,https://www.powerhelia.com/,4.9,89.0,"Shop no. LL02, Hari Om Tower, Circular Rd, Ranchi, Jharkhand 834001","Upper Burdwan Compound, P&T Colony, Lalpur",23.375911799999997,85.3336324,ChIJ-Xv5JRPh9DkRUGgH0xJS6Q0,https://www.google.com/maps/place/?q=place_id:ChIJ-Xv5JRPh9DkRUGgH0xJS6Q0,part_390,2026-09-20 20:19:42
VIDYA SOLAR SOLUTIONS,Solar Rooftop and Inverter Dealer,Solar Energy Company,Solar Energy Company,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 75490 44357,N/A,4.7,12.0,"Q.No.-55/A, Government Colony, P.O.-I.E, Gumia, Jharkhand 829112",835223,23.8157499,85.83569519999999,ChIJZTEcUw1v9DkRtokCaPsf5bM,https://www.google.com/maps/place/?q=place_id:ChIJZTEcUw1v9DkRtokCaPsf5bM,part_390,2026-09-20 20:19:42
SOLAR AND ENERGY SAVING COMPANY,Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,"Solar energy equipment supplier, Solar energy system service, Solar photovoltaic power plant, Water Pump Supplier",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 93048 24975,N/A,4.4,24.0,"201/B, Satya Ganga Arcade Lalji Hirji Road, Main Rd, Ranchi, Jharkhand 834001",Upper Bazar,23.3689294,85.3239068,ChIJczamgAXh9DkRN-MZZm2bLsc,https://www.google.com/maps/place/?q=place_id:ChIJczamgAXh9DkRN-MZZm2bLsc,part_390,2026-09-20 20:19:42
Surya Mitra Enterprises,Solar Rooftop and Inverter Dealer,Electronics store,"Electronics store, Home automation company",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 87890 98446,https://surya-mitra-476639.grexa.site/,5.0,59.0,"Chankyapuri Colony, Chira Chas, Bokaro Steel City, Jharkhand 827015","Chankyapuri Colony, Chira Chas",23.6587049,86.1735348,ChIJR0nbJxMj9DkRZeiG2IMlQ18,https://www.google.com/maps/place/?q=place_id:ChIJR0nbJxMj9DkRZeiG2IMlQ18,part_390,2026-09-20 20:19:42
RANI ENTERPRISES,Solar Rooftop and Inverter Dealer,Solar Energy Company,Solar Energy Company,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 79030 90280,https://paanienergy.com/,4.9,61.0,"Sarveshwari Niketan, Radium Rd, Ahirtoli, Ranchi, Jharkhand 834001",Ahirtoli,23.380819499999998,85.32379139999999,ChIJ1W0TJlfh9DkRNF5OSfLEgOA,https://www.google.com/maps/place/?q=place_id:ChIJ1W0TJlfh9DkRNF5OSfLEgOA,part_390,2026-09-20 20:19:42
M/S JAY ELECTRONICS,Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,"Solar energy equipment supplier, Battery Wholesaler, Solar hot water system supplier, Solar photovoltaic power plant, Water Pump Supplier",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 86511 09469,N/A,5.0,47.0,"Thana Rd, near v2 mall, Dumka, Jharkhand 814101",835223,24.2653777,87.24816899999999,ChIJM5M0OFO38DkRcZp_h-kiFtQ,https://www.google.com/maps/place/?q=place_id:ChIJM5M0OFO38DkRcZp_h-kiFtQ,part_390,2026-09-20 20:19:42
