business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Stationary and Xerox,Xerox and Photostat Center,Pen store,Pen store,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,4.1,,"CCG6+VWJ, Mesra, Jharkhand 835217",835223,23.4272119,85.4122787,ChIJs2Azt5bk9DkRfNfJeRR3IwI,https://www.google.com/maps/place/?q=place_id:ChIJs2Azt5bk9DkRfNfJeRR3IwI,part_390,2026-09-20 20:19:50
Gupta Computers and Photocopy Service,Xerox and Photostat Center,Internet cafe,Internet cafe,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,3.3,,"PXR2+M2H, Kunkuri, Chhattisgarh 496225",835223,22.7413663,83.9499711,ChIJt1GlDgBtijkRUb1_42QmKtw,https://www.google.com/maps/place/?q=place_id:ChIJt1GlDgBtijkRUb1_42QmKtw,part_390,2026-09-20 20:19:50
Ashok online and photocopy centre,Xerox and Photostat Center,Money transfer service,Money transfer service,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 78059 26654,https://www.youtube.com/@Ashok_Csc_Centre,5.0,,"Gym ke bagal me, Main Road Duldula, Duldula, Chhattisgarh 496334",835223,22.7136739,84.1012801,ChIJF7bDbrxlijkRM7sRFKdv65w,https://www.google.com/maps/place/?q=place_id:ChIJF7bDbrxlijkRM7sRFKdv65w,part_390,2026-09-20 20:19:50
csc center,Xerox and Photostat Center,Data Entry Service Provider,Data Entry Service Provider,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 74886 02121,N/A,,,"Gotra, chotà town, Samtoli, Simdega, Jharkhand 835223","chotà town, Samtoli",22.6161501,84.4898565,ChIJRYlJWP1J2aoRHqdEpM4IFIU,https://www.google.com/maps/place/?q=place_id:ChIJRYlJWP1J2aoRHqdEpM4IFIU,part_390,2026-09-20 20:19:50
Neelam Xerox,Xerox and Photostat Center,Copy shop,Copy shop,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,3.8,,"X333+8PJ, Kadamdih, Jharkhand 832401",835223,22.9533472,86.0542519,ChIJQ_7mPYDC9TkRVC6KtkEzBCY,https://www.google.com/maps/place/?q=place_id:ChIJQ_7mPYDC9TkRVC6KtkEzBCY,part_390,2026-09-20 20:19:50
XEROX & PRINT CENTRE,Xerox and Photostat Center,Print shop,Print shop,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 76459 32085,N/A,5.0,,"Purulia Rd, Pindrajora, Jharkhand 827013",835223,23.5145001,86.199345,ChIJwfHaZt8p9DkRv5zal_-aq-s,https://www.google.com/maps/place/?q=place_id:ChIJwfHaZt8p9DkRv5zal_-aq-s,part_390,2026-09-20 20:19:50
Bulbul Xerox Centre,Xerox and Photostat Center,Internet cafe,"Internet cafe, Digital printing service",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 75491 27676,http://facebook.com/hadish.shaan,5.0,,"Main Chowk, Harhad, Jharkhand 825302",835223,23.933609999999998,85.3626039,ChIJ95BQHdOb9DkRzVcGoFKAki4,https://www.google.com/maps/place/?q=place_id:ChIJ95BQHdOb9DkRzVcGoFKAki4,part_390,2026-09-20 20:19:50
Paras photocopy center,Xerox and Photostat Center,Art studio,Art studio,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,5.0,,"ghanshyam nagar, Tapkara, Chhattisgarh 496227",ghanshyam nagar,22.498037399999998,83.94904629999999,ChIJddbz3AufIDoR4wWEdxDyqUU,https://www.google.com/maps/place/?q=place_id:ChIJddbz3AufIDoR4wWEdxDyqUU,part_390,2026-09-20 20:19:50
Ram Xerox Centre Postmara,Xerox and Photostat Center,General store,General store,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 87093 17441,N/A,,,"Sarra, Maniadi, Jharkhand 828142",835223,24.0273552,86.3372807,ChIJbxvW1N-r9jkR-aFu-TyrzE4,https://www.google.com/maps/place/?q=place_id:ChIJbxvW1N-r9jkR-aFu-TyrzE4,part_390,2026-09-20 20:19:50
Abhinix Printing,Xerox and Photostat Center,Advertising agency,"Advertising agency, Acrylic Dealer, Branding agency, Digital printer, Graphic designer, Neon sign shop, Offset Printer, Print shop, Sign shop",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 90029 19444,https://www.abhinixprintingsignboard.com/,4.9,,"1st Floor, NK Complex, Dr.Fatehullah Rd, beside Farid Traders, Lower Bazaar, Ranchi, Jharkhand 834001",Lower Bazaar,23.3632,85.3272671,ChIJY9TKjtjj9DkRlk3Q3IZjUkk,https://www.google.com/maps/place/?q=place_id:ChIJY9TKjtjj9DkRlk3Q3IZjUkk,part_390,2026-09-20 20:19:50
