business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
JRM Photography,Photographers,Photography studio,Photography studio,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 70705 32048,N/A,5.0,,"Bara Niwas, Saldega, Simdega, Jharkhand 835223",Saldega,22.6183595,84.5122535,ChIJHV3Sgv2dijkR6rYMIN6KgGc,https://www.google.com/maps/place/?q=place_id:ChIJHV3Sgv2dijkR6rYMIN6KgGc,part_390,2026-09-20 20:19:46
Photo frame,Photographers,Photography studio,Photography studio,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 76779 40699,N/A,5.0,,"shop no 134, Market complex, Officers Colony, Simdega, Jharkhand 835223",Officers Colony,22.6114627,84.5003201,ChIJVwicg5udijkRB4t6OG00nIA,https://www.google.com/maps/place/?q=place_id:ChIJVwicg5udijkRB4t6OG00nIA,part_390,2026-09-20 20:19:46
Sahiya Studio Simdega,Photographers,Photographer,"Photographer, Lodging",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,4.5,,"Kelaghat Dm Rd, Bara Barpani, Jharkhand 835223",835223,22.597265999999998,84.5074442,ChIJ43HOHjmdijkRI8XGNA6rmJs,https://www.google.com/maps/place/?q=place_id:ChIJ43HOHjmdijkRI8XGNA6rmJs,part_390,2026-09-20 20:19:46
Studio Akansha,Photographers,Photo shop,"Photo shop, Photography studio",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,4.1,,"Ram Janki Mandir, Main Rd Simdega, above Rangoli Fashions Men, Main Town, Ghocho Toli, Simdega, Jharkhand 835223","Main Town, Ghocho Toli",22.611721499999998,84.50207139999999,ChIJKwjrJA2cijkRxYeuVSJxL7U,https://www.google.com/maps/place/?q=place_id:ChIJKwjrJA2cijkRxYeuVSJxL7U,part_390,2026-09-20 20:19:46
Roopsi Studio,Photographers,Photography studio,Photography studio,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,5.0,,"Main Rd Simdega, Saldega, Simdega, Jharkhand 835223",Saldega,22.6136214,84.5020601,ChIJDahzdcidijkRGKYf2eCTu0U,https://www.google.com/maps/place/?q=place_id:ChIJDahzdcidijkRGKYf2eCTu0U,part_390,2026-09-20 20:19:46
Rolex Studio office,Photographers,Photo lab,Photo lab,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,3.8,,"JG62+6HF, Officers Colony, Simdega, Jharkhand 835223",Officers Colony,22.6106002,84.5013092,ChIJ0dStSACdijkR-mMs6kylq4M,https://www.google.com/maps/place/?q=place_id:ChIJ0dStSACdijkR-mMs6kylq4M,part_390,2026-09-20 20:19:46
SOMIT DIGITAL STUDIO,Photographers,Photography service,"Photography service, Bank, Electronics Accessories Wholesaler, Hardware store, Photography studio, Railway Ticket Agent",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,5.0,,"Jaldega Rd, Baldega, Jharkhand 835211",835223,22.5576112,84.7460655,ChIJHSI7oGOnijkRBe62jTaNNNw,https://www.google.com/maps/place/?q=place_id:ChIJHSI7oGOnijkRBe62jTaNNNw,part_390,2026-09-20 20:19:46
CHHOTA DON,Photographers,Video editing service,Video editing service,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,3.7,,"Simdega, Sewai, Jharkhand 835223",835223,22.6621633,84.3121264,ChIJE-1QyoV1IDoRySBfcFGlWBo,https://www.google.com/maps/place/?q=place_id:ChIJE-1QyoV1IDoRySBfcFGlWBo,part_390,2026-09-20 20:19:46
Bablu Studio,Photographers,Photography studio,Photography studio,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,,,"G6FH+VVM, kersai Rd, Kersai, Jharkhand 835223",835223,22.5247119,84.2296653,ChIJz6qWTwB_ijkRu8tFBzPl5LY,https://www.google.com/maps/place/?q=place_id:ChIJz6qWTwB_ijkRu8tFBzPl5LY,part_390,2026-09-20 20:19:46
Studio Aradhana,Photographers,Photography studio,Photography studio,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 94317 73440,N/A,4.8,,"Jashpur Rd, opposite Paramveer Albert Ekka Stadium 1, Gokul Nagar, Gumla, Jharkhand 835207",Gokul Nagar,23.036904999999997,84.5392648,ChIJt2j6vzzpijkRWJPLHcDs0To,https://www.google.com/maps/place/?q=place_id:ChIJt2j6vzzpijkRWJPLHcDs0To,part_390,2026-09-20 20:19:46
