business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Simdega steel and aluminium glass work,Steel Fabrication Workshop,Steelwork design service,Steelwork design service,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 99031 89757,N/A,4.7,,"Kerketta complex, Main Rd Simdega, sonar toli, Ghocho Toli, Simdega, Jharkhand 835223","sonar toli, Ghocho Toli",22.610972999999998,84.5087191,ChIJxQMM43cLIDoRu1X2fsQX51I,https://www.google.com/maps/place/?q=place_id:ChIJxQMM43cLIDoRu1X2fsQX51I,part_390,2026-09-20 20:19:56
MV Engineering Steel Loha Aluminium Workshop,Steel Fabrication Workshop,Metal fabricator,Metal fabricator,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 88771 95869,N/A,4.9,,"Jayprakash Nagar, Bhagalpur Road, behind HP Petrol Pump, Godda, Jharkhand 814133","Shastri Nagar, Basmati Nagar",24.8318791,87.2111437,ChIJMasbBWz18DkRsAyBT64In2Y,https://www.google.com/maps/place/?q=place_id:ChIJMasbBWz18DkRsAyBT64In2Y,part_390,2026-09-20 20:19:57
Nasim Welding and Steel Works,Steel Fabrication Workshop,Stainless steel plant,Stainless steel plant,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,5.0,,"Main Rd, near Jama Masjid, Sisai, Jharkhand 835224",835223,23.1672698,84.755932,ChIJq1I7NHnbijkRdBlLtJHVHnY,https://www.google.com/maps/place/?q=place_id:ChIJq1I7NHnbijkRdBlLtJHVHnY,part_390,2026-09-20 20:19:57
AARISH ALMUNIUM,Steel Fabrication Workshop,Metal workshop,Metal workshop,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 93088 97013,N/A,5.0,,"Bus Stand, Old, Men Road, near Nagar bhawan, Nawatoli, Kolebira, Jharkhand 835211",835223,22.700469599999998,84.6936702,ChIJ0wXHR56kijkRh3jaOrKgZpQ,https://www.google.com/maps/place/?q=place_id:ChIJ0wXHR56kijkRh3jaOrKgZpQ,part_390,2026-09-20 20:19:57
Trident Fabricators Private Limited,Steel Fabrication Workshop,Steel fabricator,Steel fabricator,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,http://www.tridentfab.com/,4.6,,"Kalunga, Rourkela, Odisha 770031",Kalunga,22.2195125,84.7597952,ChIJVT7Q024XIDoRZkIy_ghXppE,https://www.google.com/maps/place/?q=place_id:ChIJVT7Q024XIDoRZkIy_ghXppE,part_390,2026-09-20 20:19:57
towell engineering company odisha,Steel Fabrication Workshop,Metal fabricator,"Metal fabricator, Factory equipment supplier",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,4.5,,"near NH43, Jhagarpur, Ranibandh Bijbon, Odisha 770017",835223,22.226542,84.6008093,ChIJczdz7c9rIDoRceWyALTQVHQ,https://www.google.com/maps/place/?q=place_id:ChIJczdz7c9rIDoRceWyALTQVHQ,part_390,2026-09-20 20:19:57
Public Engineering WorkShop,Steel Fabrication Workshop,Metal workshop,"Metal workshop, Door manufacturer, Garage door supplier, Iron works, Garage, Steel construction company",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,4.7,,"Pasi Tola Rd, Sanrh, Jharkhand 825311",835223,23.8409923,85.242651,ChIJxQpoxUm99DkRYbXFhCzZIPE,https://www.google.com/maps/place/?q=place_id:ChIJxQpoxUm99DkRYbXFhCzZIPE,part_390,2026-09-20 20:19:57
Shree Jagannath Engineers Pvt. Ltd.,Steel Fabrication Workshop,Metal fabricator,Metal fabricator,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 661 266 0349,http://sjagannath.com/,4.9,,"IDCO Plot no. A-2, Kalunga, Rourkela, Odisha 770031",Kalunga,22.2290037,84.76552439999999,ChIJQdBbVVwXIDoRYlDva_GB-gg,https://www.google.com/maps/place/?q=place_id:ChIJQdBbVVwXIDoRYlDva_GB-gg,part_390,2026-09-20 20:19:57
RAJDEV WELDING WORKSHOP,Steel Fabrication Workshop,Iron & Steel Store,Iron & Steel Store,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 99343 97814,N/A,4.9,,"Station Road Satdiha, Sarmatand, Jainagar, Jharkhand 825109",835223,24.3432875,85.65815889999999,ChIJ40pr7Mmd8zkR3878k6uuT2U,https://www.google.com/maps/place/?q=place_id:ChIJ40pr7Mmd8zkR3878k6uuT2U,part_390,2026-09-20 20:19:57
Anand Fabrication,Steel Fabrication Workshop,Steel fabricator,Steel fabricator,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 70504 20012,N/A,4.9,,"Jasidih, Deoghar Rd, near Darhwa nadi, chandpur, Jharkhand 814142",835223,24.4934409,86.66548689999999,ChIJy5ZsQv0J8TkR3DROqmoXP0Q,https://www.google.com/maps/place/?q=place_id:ChIJy5ZsQv0J8TkR3DROqmoXP0Q,part_390,2026-09-20 20:19:57
Manilal Metal Workshop,Steel Fabrication Workshop,Fabrication Engineer,Fabrication Engineer,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 87790 09330,N/A,5.0,,"Baba Dham Khariyodih Rafic Miyaan Building Mahuagarah, Jharkhand 825318",835223,24.319748399999998,85.70250949999999,ChIJv78CtBOb8zkRRe7XPngUEuI,https://www.google.com/maps/place/?q=place_id:ChIJv78CtBOb8zkRRe7XPngUEuI,part_390,2026-09-20 20:19:57
