business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kangna Enterprises,Generator Sales and Rental,Electric generator shop,Electric generator shop,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 94311 61423,http://www.kangnaenterprises.com/,4.1,43.0,"Main Rd Gumla, Gumla, Jharkhand 835207",835223,23.0415149,84.54277789999999,ChIJsxC5fyLpijkRlSi8bZtoRc0,https://www.google.com/maps/place/?q=place_id:ChIJsxC5fyLpijkRlSi8bZtoRc0,part_390,2026-09-20 20:19:57
Bharat Machinery,Generator Sales and Rental,Electrical products wholesaler,"Electrical products wholesaler, Electric motor repair shop, Electric motor store, Electric utility company, Electrical supply store, Electronics Company, Electronics wholesaler, Manufacturer",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 93340 09723,http://www.bharaatmachinary.com/,4.4,79.0,"Ratu Rd, behind Bombay Medical Hall, PyadaToli, Upper Bazar, Ranchi, Jharkhand 834001","PyadaToli, Upper Bazar",23.376942099999997,85.3186825,ChIJeyaACRzh9DkRWzblv3r4K5k,https://www.google.com/maps/place/?q=place_id:ChIJeyaACRzh9DkRWzblv3r4K5k,part_390,2026-09-20 20:19:57
Kanchan Power,Generator Sales and Rental,Electric generator shop,Electric generator shop,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 93868 33588,N/A,4.3,11.0,"Forest Institute Road, New Pundag, Lalgutwa, Ranchi, Gutuwa, Jharkhand 835303","New Pundag, Lalgutwa",23.3557384,85.249584,ChIJX2uzKJLf9DkRkyG8oXMCJGg,https://www.google.com/maps/place/?q=place_id:ChIJX2uzKJLf9DkRkyG8oXMCJGg,part_390,2026-09-20 20:19:57
Sharda Diesels Pvt Ltd,Generator Sales and Rental,Manufacturer,"Manufacturer, Construction equipment supplier, Fabrication Engineer, Industrial equipment supplier, Sheet metal contractor",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 92636 34532,http://www.shardadiesels.in/,4.6,65.0,"P, 352&353, 22/23, Industrial Area Rd, near RRR House, Phase II, Tatisilwai, Ranchi, Jharkhand 835103",Phase II,23.370859199999998,85.4489091,ChIJAQAAACzj9DkRANC0inD3YCk,https://www.google.com/maps/place/?q=place_id:ChIJAQAAACzj9DkRANC0inD3YCk,part_390,2026-09-20 20:19:57
Kangna Enterprises,Generator Sales and Rental,Electric generator shop,Electric generator shop,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 94311 61423,http://www.kangnaenterprises.com/,4.2,58.0,"PANSY APARTMENT CHANDNI CHOUK, 1 B, Kanke Rd, opposite Rohini Mohini Hospital, Gandhi Nagar Colony, Chandni Chouk, Ranchi, Jharkhand 834008","Gandhi Nagar Colony, Chandni Chouk",23.4069546,85.3162849,ChIJsyBoKCDh9DkRoxEW6wvFQM8,https://www.google.com/maps/place/?q=place_id:ChIJsyBoKCDh9DkRoxEW6wvFQM8,part_390,2026-09-20 20:19:59
MANSI DG SET,Generator Sales and Rental,Electric generator shop,Electric generator shop,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 82107 36912,N/A,2.3,3.0,"6th floor, 604, Samriddhi square, chouk, Harmu Rd, Kishore Ganj, Kumhartoli, Ranchi, Jharkhand 834001","Kishore Ganj, Kumhartoli",23.3707058,85.31204369999999,ChIJD1M44S3h9DkRZ8hJVCx-f08,https://www.google.com/maps/place/?q=place_id:ChIJD1M44S3h9DkRZ8hJVCx-f08,part_390,2026-09-20 20:19:59
Generetor World,Generator Sales and Rental,Electric generator shop,Electric generator shop,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 94311 61423,N/A,5.0,3.0,"Generetor world, Sesai Road, opp. Indian Oil petrol PumpPetrol, Karamdipa, Pugu, Gumla, Jharkhand 835220",Karamdipa,23.052888,84.57663819999999,ChIJaQ2ok_bpijkRCrpsP_4Ry5M,https://www.google.com/maps/place/?q=place_id:ChIJaQ2ok_bpijkRCrpsP_4Ry5M,part_390,2026-09-20 20:19:59
Sati Electricals,Generator Sales and Rental,Electric generator shop,Electric generator shop,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 87892 64297,N/A,3.0,4.0,"Ratu Rd, near Kabristan, Aryapuri, Indrapuri Colony, Ranchi, Jharkhand 834001","Aryapuri, Indrapuri Colony",23.3797735,85.31085399999999,ChIJh3JgqrPh9DkRpJpoHTJO04E,https://www.google.com/maps/place/?q=place_id:ChIJh3JgqrPh9DkRpJpoHTJO04E,part_390,2026-09-20 20:19:59
Generator Bazar,Generator Sales and Rental,Electronics store,Electronics store,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 85000 08243,N/A,,,"Gumla Rd, Ranchi, Gumla, Jharkhand 835207",835223,23.041403199999998,84.5426991,ChIJB332DyXpijkRVe_Q9jjDC-k,https://www.google.com/maps/place/?q=place_id:ChIJB332DyXpijkRVe_Q9jjDC-k,part_390,2026-09-20 20:19:59
Dinesh Electicals & Lights- GENERATOR ON RENT- DG HIRE- RENTAL SILENT GENERATOR- DIESEL GENERATOR,Generator Sales and Rental,Electric generator shop,Electric generator shop,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 98351 66113,N/A,4.3,39.0,"98P2+XP3, Indrapuri Colony, Ranchi, Jharkhand 834005",Indrapuri Colony,23.3873839,85.3018048,ChIJZRn8FsPg9DkR-TcZJWX6ETc,https://www.google.com/maps/place/?q=place_id:ChIJZRn8FsPg9DkR-TcZJWX6ETc,part_390,2026-09-20 20:19:59
SD POWER SOLUTIONS,Generator Sales and Rental,Electric generator shop,Electric generator shop,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,https://m.indiamart.com/sd-powersolutions/,4.9,45.0,"Shop no - F-20, Samudaik Bhawan, Argora Marketing Complex, Argora, Ranchi, Jharkhand 834002","Ashok Kunj, Argora Housing Colony, Argora",23.3469513,85.2983419,ChIJQTj-KzPh9DkR9QZegeK_f1g,https://www.google.com/maps/place/?q=place_id:ChIJQTj-KzPh9DkR9QZegeK_f1g,part_390,2026-09-20 20:19:59
SAI ELECTRIC & TRADING CO. (P) LTD,Generator Sales and Rental,Electric generator shop,"Electric generator shop, Concrete contractor, Crane rental agency, Crane service, Forklift dealer, Transportation service",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,http://sairentals.in/,4.7,29.0,"Kanke Rd, behind hotel Hotlips, Jagatpuram, Indira Nagar Colony, Gandhi Nagar, Ranchi, Jharkhand 834008","Indira Nagar Colony, Gandhi Nagar",23.417598299999998,85.3203394,ChIJZ3isMPzg9DkR3Y69R-DAQl0,https://www.google.com/maps/place/?q=place_id:ChIJZ3isMPzg9DkR3Y69R-DAQl0,part_390,2026-09-20 20:19:59
Sai Rentals,Generator Sales and Rental,Equipment rental agency,"Equipment rental agency, Plant and machinery hire",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 90042 14757,https://sairentals.in/,5.0,1.0,"1st Floor, HI/256, Harmu Rd, Harmu Housing Colony, Tongritoli, Ranchi, Jharkhand 834002","Harmu Housing Colony, Tongritoli",23.3627988,85.309783,ChIJ0wnQzgnh9DkRJEc55sp3K4o,https://www.google.com/maps/place/?q=place_id:ChIJ0wnQzgnh9DkRJEc55sp3K4o,part_390,2026-09-20 20:19:59
Jai Ambey Electric Work,Generator Sales and Rental,Electric generator shop,Electric generator shop,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 94317 61008,N/A,4.3,12.0,"Jagatpuram colony, Kanke Rd, near Rajdhani Cement, Jhirga Toli, Gandhi Nagar, Ranchi, Jharkhand 834006","Jhirga Toli, Gandhi Nagar",23.4175455,85.3219926,ChIJ7xaRlyrh9DkRB-3fDbcI6EI,https://www.google.com/maps/place/?q=place_id:ChIJ7xaRlyrh9DkRB-3fDbcI6EI,part_390,2026-09-20 20:19:59
AC Power Solution,Generator Sales and Rental,Electric generator shop,Electric generator shop,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,4.7,20.0,"Plot No - 224, Friday Market, 2150, near Grihasti Udyog, Panposh, Rourkela, Odisha 769015",Panposh,22.2411684,84.8008339,ChIJB6mJfIsZIDoRdhnxlG_NOZU,https://www.google.com/maps/place/?q=place_id:ChIJB6mJfIsZIDoRdhnxlG_NOZU,part_390,2026-09-20 20:19:59
