business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sri Sai general store,General Store,Store,Store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,5.0,,"PGJ4+V3C, Kuju, Jharkhand 825316",825330,23.7321808,85.5051273,ChIJB5sPWwCN9DkRT1H9hrmNehE,https://www.google.com/maps/place/?q=place_id:ChIJB5sPWwCN9DkRT1H9hrmNehE,part_385,2026-09-20 20:19:20
Gudia General Store,General Store,General store,General store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,4.6,,"JGMF+J52, Koyari Tola, Ramgarh Cantonment, Jharkhand 829122",825330,23.634011299999997,85.5229043,ChIJR62Ghnb09DkRS1r0VoFW7jc,https://www.google.com/maps/place/?q=place_id:ChIJR62Ghnb09DkRS1r0VoFW7jc,part_385,2026-09-20 20:19:20
Rounak Store,General Store,General store,General store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 78701 32811,N/A,4.2,,"PGF4+PC9, At- kuju basti, PO, Kuju, Jharkhand 825316",825330,23.7242762,85.5061078,ChIJq5NFg7aN9DkRG7YAZd7mbHQ,https://www.google.com/maps/place/?q=place_id:ChIJq5NFg7aN9DkRG7YAZd7mbHQ,part_385,2026-09-20 20:19:20
Guddu Store,General Store,General store,General store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,5.0,,"MG77+F8X, Ramgarh City Rd, Ranchi Road, Ramgarh Cantonment, Jharkhand 829117",Ranchi Road,23.663746399999997,85.5133525,ChIJW9L1xmTz9DkRXBjG90ipoCo,https://www.google.com/maps/place/?q=place_id:ChIJW9L1xmTz9DkRXBjG90ipoCo,part_385,2026-09-20 20:19:20
Rahul General store,General Store,General store,General store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,5.0,,"HGXH+QPR, Kankebar, Ramgarh Cantonment, Jharkhand 825101",825330,23.599492299999998,85.52926769999999,ChIJ_aCw1-339DkR9cVJ7I_2N64,https://www.google.com/maps/place/?q=place_id:ChIJ_aCw1-339DkR9cVJ7I_2N64,part_385,2026-09-20 20:19:20
Falak General Store,General Store,General store,General store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 62010 68172,N/A,5.0,,"Balsagara, Huwag, Jharkhand 825330",Balsagara,23.7548645,85.4496197,ChIJr-Ph4OGN9DkRAOoe4syL6Mc,https://www.google.com/maps/place/?q=place_id:ChIJr-Ph4OGN9DkRAOoe4syL6Mc,part_385,2026-09-20 20:19:20
Suraj General & Grocery Store,General Store,General store,General store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 99735 17299,N/A,,,"Ramnagar, Dhobi Garha, Barka Chumba, Jharkhand 829101","Ramnagar, Dhobi Garha",23.6853785,85.45155919999999,ChIJp-hQYQDz9DkRY5z9xkV9cuc,https://www.google.com/maps/place/?q=place_id:ChIJp-hQYQDz9DkRY5z9xkV9cuc,part_385,2026-09-20 20:19:20
Keshri General Store,General Store,General store,"General store, Bakery and Cake Shop",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 62011 28507,N/A,,,"Kuju, Jharkhand 825316",825330,23.7272273,85.5065089,ChIJLee2u3ON9DkR7sFi3we6AXY,https://www.google.com/maps/place/?q=place_id:ChIJLee2u3ON9DkR7sFi3we6AXY,part_385,2026-09-20 20:19:20
RKS STORE,General Store,General store,General store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 98351 45418,N/A,4.6,,"Gautam Budh Path, Goriyaribag, Ramgarh Cantonment, Jharkhand 829122",Goriyaribag,23.622362499999998,85.52193749999999,ChIJ74OtLR_19DkRybL5kfulgB8,https://www.google.com/maps/place/?q=place_id:ChIJ74OtLR_19DkRybL5kfulgB8,part_385,2026-09-20 20:19:21
Shiv Shankar General Store,General Store,Indian grocery store,Indian grocery store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 98355 36003,N/A,4.5,,"Stand Rd, Ramgarh Cantonment, Jharkhand 829122",825330,23.626870699999998,85.5176115,ChIJadwJKfXz9DkRnevq_s6w2tc,https://www.google.com/maps/place/?q=place_id:ChIJadwJKfXz9DkRnevq_s6w2tc,part_385,2026-09-20 20:19:21
