business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Fashion Factory,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing Accessories Store, Clothing store, Sportswear store, Women's clothing store",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 1800 891 0001,https://location.reliancefashionfactorystores.com/fashion-factory-ff-kuju-tst-main-road-kuju-near-getanjali-cinema-hall-clothing-stores-kuju-hazaribagh-569755/Home?utm_source=locator&utm_medium=googleplaces,5.0,,"Plot No 1012, RR Road Mandu, opposite Reliance Smart Point, Kuju, Hazaribagh, Jharkhand 825316",Hesagraha,23.727605999999998,85.508213,ChIJ71BenvSN9DkRMCKqs5hKxzc,https://www.google.com/maps/place/?q=place_id:ChIJ71BenvSN9DkRMCKqs5hKxzc,part_385,2026-09-20 20:19:26
Blackberrys,Mens Wear Showroom,Clothing store,"Clothing store, Jeans shop, Clothing Accessories Store, Formal Clothing Store, T-shirt store, Tuxedo shop, Wedding store, Western apparel store",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 88799 86130,https://stores.blackberrys.com/blackberrys-clothing-stores-gola-road-ramgarh-294636/Home,5.0,,"Sita Ram Plaza, Gola Rd, opposite V Mart, Ramgarh Cantonment, Jharkhand 829122",825330,23.627336,85.52448199999999,ChIJx6wJHaj19DkRxFp2GzGOY1E,https://www.google.com/maps/place/?q=place_id:ChIJx6wJHaj19DkRxFp2GzGOY1E,part_385,2026-09-20 20:19:26
The Raymond shop,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Designer Clothing Store, Dress store, Fabric store, Clothing Accessories Store, Formal Clothing Store, Clothing store, Tuxedo shop, Youth clothing store",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 80 6986 7774,https://ramgarh-cantonment.myraymond.com/,4.1,,"Garg Fabrics(P)Ltd-Ramgarh Satkoudi Complex, Ramgarh Cantonment, Jharkhand 829122",825330,23.6360445,85.5128915,ChIJ_____wP09DkRXdzwBvsmlbY,https://www.google.com/maps/place/?q=place_id:ChIJ_____wP09DkRXdzwBvsmlbY,part_385,2026-09-20 20:19:26
V-Mart - Ramgarh,Mens Wear Showroom,Clothing store,"Clothing store, Convenience store, Department store, Variety store",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 72899 13783,https://stores.vmartretail.com/clothing-mart-ramgarh-hazaribag-30890/home,4.9,,"JGGG+P2H, Panchratna Chourasia Galaxy, Gola Rd, Ramgarh Cantonment, Jharkhand 829122",825330,23.6273765,85.5245513,ChIJAdSrsnT09DkRIBWDR-TX0XQ,https://www.google.com/maps/place/?q=place_id:ChIJAdSrsnT09DkRIBWDR-TX0XQ,part_385,2026-09-20 20:19:26
Exclusive Clothing,Mens Wear Showroom,Clothing store,Clothing store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 91990 02002,N/A,3.9,,"gandhi chowk, near income tax office, beside Damodar Bridge Ramgarh, Ramgarh Cantonment, Jharkhand 829122",825330,23.6384318,85.5113993,ChIJFzsVk4_z9DkRLcMF6K5evLk,https://www.google.com/maps/place/?q=place_id:ChIJFzsVk4_z9DkRLcMF6K5evLk,part_385,2026-09-20 20:19:26
Baby Dresses,Mens Wear Showroom,Clothing store,Clothing store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 90069 46508,N/A,4.2,,"Kuju - Giddi Rd, Barka Chumba, Jharkhand 829101",825330,23.705685199999998,85.4405487,ChIJD6-CA1eN9DkRsLcqoM6eH_M,https://www.google.com/maps/place/?q=place_id:ChIJD6-CA1eN9DkRsLcqoM6eH_M,part_385,2026-09-20 20:19:26
Satnam Garments,Mens Wear Showroom,Clothing store,Clothing store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 72099 18782,N/A,3.9,,"New Market, Patratu, Jharkhand 829119",New Market,23.6355661,85.27672179999999,ChIJWbcqcXnq9DkRgA54vXTxYyw,https://www.google.com/maps/place/?q=place_id:ChIJWbcqcXnq9DkRgA54vXTxYyw,part_385,2026-09-20 20:19:27
Planet Fashion,Mens Wear Showroom,Clothing store,Clothing store,825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",N/A,N/A,4.4,,"Kasai Mohallah, Azad Mahalla, Hazaribagh, Jharkhand 825301","Kasai Mohallah, Azad Mahalla",23.9935707,85.3569007,ChIJxxgICB2c9DkRj4ksHJTCpmQ,https://www.google.com/maps/place/?q=place_id:ChIJxxgICB2c9DkRj4ksHJTCpmQ,part_385,2026-09-20 20:19:27
Style zone means wear nahar chowk chiniya road garhwa,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 87099 61389,N/A,5.0,,"Nahar chowk, Chiniya Rd, Pipra Khurd, Garhwa, Jharkhand 822114",Pipra Khurd,24.150045,83.7945897,ChIJieAGgZAPjDkRgWkTdZcTfI8,https://www.google.com/maps/place/?q=place_id:ChIJieAGgZAPjDkRgWkTdZcTfI8,part_385,2026-09-20 20:19:28
Yuva brand,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Jeans shop",825330,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Belsagra BO, Chainpur BO, Rabodh BO",+91 88507 10279,N/A,4.6,,"taxi stand, near Yamaha showroom, Barkagaon, Hazaribagh, Jharkhand 825311",825330,23.8529297,85.21702619999999,ChIJVx5IJ-S99DkRbhO7REOZ36E,https://www.google.com/maps/place/?q=place_id:ChIJVx5IJ-S99DkRbhO7REOZ36E,part_385,2026-09-20 20:19:28
