business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Career Dream Destination LLP,Educational Consultant,Educational consultant,Educational consultant,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 89205 50301,https://careerdreamdestination.com/,5.0,33.0,"Punjabi Kothi, near Ram Krishna Colony, near Ishan Sarovar Portico, Castairs Town, Bompas Town, Deoghar, Jharkhand 814112","Castairs Town, Bompas Town",24.486731,86.69258099999999,ChIJt1izMGBxAjoRYhxnIHyITT0,https://www.google.com/maps/place/?q=place_id:ChIJt1izMGBxAjoRYhxnIHyITT0,part_381,2026-09-20 20:19:48,3283
DEOGHAR PARENT TUTOR CONNECT,Educational Consultant,Educational consultant,Educational consultant,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 95041 23394,N/A,5.0,1.0,"Shahid Ashram Rd, Rajendra Nagar, Jhoushagari, Deoghar, Jharkhand 814112","Rajendra Nagar, Jhoushagari",24.4824433,86.7088481,ChIJR0BigEI98TkRSB4l8DS97Hw,https://www.google.com/maps/place/?q=place_id:ChIJR0BigEI98TkRSB4l8DS97Hw,part_381,2026-09-20 20:19:48,3284
Computer,Educational Consultant,Educational consultant,Educational consultant,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 83402 23738,http://www.cecindiaeducation.com/,4.6,11.0,"Castar Town, Station Rd, Deoghar, Jharkhand 814112","Castairs Town, Bompas Town",24.488682299999997,86.69130589999999,ChIJlY87NTo98TkRPzm2KtQjF7g,https://www.google.com/maps/place/?q=place_id:ChIJlY87NTo98TkRPzm2KtQjF7g,part_381,2026-09-20 20:19:48,3285
Gujjar Educational And Social Welfare Trust,Educational Consultant,Educational consultant,Educational consultant,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 73854 18339,N/A,5.0,1.0,"Road, above JCB Showroom, near St Xaviers Child Development Centre, Karnibad, Deoghar, Jharkhand 814112",Karnibad,24.483503199999998,86.701522,ChIJU1F1pzk98TkRDGdEFm2yr-A,https://www.google.com/maps/place/?q=place_id:ChIJU1F1pzk98TkRDGdEFm2yr-A,part_381,2026-09-20 20:19:48,3286
Amity University Online - Study Abroad in Deoghar,Educational Consultant,Educational consultant,"Educational consultant, Education center, Studying center, Tutoring service",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 89294 00479,https://studyabroad.amityonline.com/,,,"Jasidih Road, near Temple Market, Bompas Town, Deoghar, Jharkhand 814112",Bompas Town,24.4853,86.695,ChIJbzSjZ8I98TkRo85drwgsIXo,https://www.google.com/maps/place/?q=place_id:ChIJbzSjZ8I98TkRo85drwgsIXo,part_381,2026-09-20 20:19:48,3287
Pacific Educational Consultants (Deoghar Branch),Educational Consultant,Educational consultant,Educational consultant,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 91187 16840,https://www.pacificeducation.in/,,,"SBV Edu Con, Vijaya Niketan, Railway Crossing, near Purandaha, Purandaha, Bompas Town, Deoghar, Jharkhand 814112","Purandaha, Bompas Town",24.4899585,86.6844923,ChIJH0-yxd4X8TkRZdAsPIH-PXA,https://www.google.com/maps/place/?q=place_id:ChIJH0-yxd4X8TkRZdAsPIH-PXA,part_381,2026-09-20 20:19:48,3288
Tushar Das residence,Educational Consultant,Educational consultant,"Educational consultant, Coaching Center",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,5.0,1.0,"Tushar Das Rd, Jhoushagari, Deoghar, Jharkhand 814122",Jhoushagari,24.4838681,86.7044597,ChIJh4srUAA98TkRErJwwigd4nc,https://www.google.com/maps/place/?q=place_id:ChIJh4srUAA98TkRErJwwigd4nc,part_381,2026-09-20 20:19:48,3289
Om Academy Deoghar,Educational Consultant,Educational consultant,Educational consultant,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 78701 34083,N/A,5.0,2.0,"Taran tilha, Dulari Bhawan , Laxmi Garden , Kali Mandir , Chobhachcha baba path, bypass road, Kunda, Baidhnathpur, Bandha, Deoghar, Jharkhand 814112","Kunda, Baidhnathpur",24.4791195,86.7248274,ChIJjc5vTR498TkRNd6-3vPJUi8,https://www.google.com/maps/place/?q=place_id:ChIJjc5vTR498TkRNd6-3vPJUi8,part_381,2026-09-20 20:19:48,3290
THE ADMISSION COACH DEOGHAR,Educational Consultant,Educational consultant,"Educational consultant, Service establishment",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 80926 61960,N/A,5.0,2.0,"THE ADMISSION COACH DEOGHAR, 814114, India",814114,24.1209433,86.4786232,ChIJj4yxt5k-iWwRWUhb9TeXplg,https://www.google.com/maps/place/?q=place_id:ChIJj4yxt5k-iWwRWUhb9TeXplg,part_381,2026-09-20 20:19:48,3291
Institute of Dream HR Training and Compliance,Educational Consultant,Business management consultant,"Business management consultant, Human resource consulting",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 88639 62310,http://www.idhrt.com/,5.0,20.0,"Lakshmipur Chowk, Jagdamba Baliyase Path, in front of Sanskrit High School, Castairs Town, Bompas Town, Deoghar, Jharkhand 814122","Castairs Town, Bompas Town",24.485111,86.6948226,ChIJz-amewAX8TkR6fNCiJtat2Y,https://www.google.com/maps/place/?q=place_id:ChIJz-amewAX8TkR6fNCiJtat2Y,part_381,2026-09-20 20:19:48,3292
