business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Eastman Dealer,Importers,Battery Store,"Battery Store, Battery Wholesaler, Solar energy system service, Solar energy equipment supplier, Solar panel maintenance service",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 97090 77665,https://eastmanbattery.in/,,,"Power Teck, Main Road, Sakrigali, Deoghar, Basbariya, Jharkhand 814114",Sakrigali,24.3977178,86.70532659999999,ChIJXRPaHg898TkR6mGHbZu4AsY,https://www.google.com/maps/place/?q=place_id:ChIJXRPaHg898TkR6mGHbZu4AsY,part_381,2026-09-20 20:19:57,4276
RK THAKUR,Importers,Supplier,Supplier,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,,,"FM8X+XG4, Thari Dulampur, Bypass Road, Kunda, Deoghar, Jharkhand 814114",Kunda,24.467385099999998,86.6988393,ChIJGVFYQgA98TkRndRsMBTtw0k,https://www.google.com/maps/place/?q=place_id:ChIJGVFYQgA98TkRndRsMBTtw0k,part_381,2026-09-20 20:19:57,4277
Luxe Essence by Mashih,Importers,"Flavours, Fragrances & Aroma Supplier","Flavours, Fragrances & Aroma Supplier",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 87077 77047,N/A,5.0,3.0,"Luxe Essence, Castairs Town, Bompas Town, Deoghar, Jharkhand 814142","Castairs Town, Bompas Town",24.485111,86.6948226,ChIJX8IF-x498TkRfzmPZltysF8,https://www.google.com/maps/place/?q=place_id:ChIJX8IF-x498TkRfzmPZltysF8,part_381,2026-09-20 20:19:57,4278
SURIYA VISION ENTERPRISES,Importers,Cleaning products supplier,"Cleaning products supplier, Food products supplier",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,,,"Satsang Nagar, Deoghar, Jharkhand 814112",Satsang Nagar,24.4832257,86.6805629,ChIJR8d46hY98TkRjPCnGbZ6ZNo,https://www.google.com/maps/place/?q=place_id:ChIJR8d46hY98TkRjPCnGbZ6ZNo,part_381,2026-09-20 20:19:57,4279
SURYA URJA ENTERPRISES,Importers,Solar energy equipment supplier,"Solar energy equipment supplier, Battery Store, Battery Wholesaler, Solar Energy Company, Solar energy system service, Solar hot water system supplier, Solar panel maintenance service, Solar photovoltaic power plant, Wire and cable supplier",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 74618 94152,N/A,5.0,20.0,"Tapowan Road, near Maruti suzuki service center, more, Kunda, Deoghar, Jharkhand 814143","more, Kunda",24.4755435,86.7210781,ChIJJyDlaIA98TkRYaUhWtl4iZ8,https://www.google.com/maps/place/?q=place_id:ChIJJyDlaIA98TkRYaUhWtl4iZ8,part_381,2026-09-20 20:19:57,4280
TIRUPATI TRADERS,Importers,Copper Supplier,Copper Supplier,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,5.0,1.0,"ROHINI BAZAAR CHOWEK, Rohini, Jharkhand 814152",814114,24.4769494,86.6444618,ChIJC90mvxk-8TkRwywH7cObvm8,https://www.google.com/maps/place/?q=place_id:ChIJC90mvxk-8TkRwywH7cObvm8,part_381,2026-09-20 20:19:58,4281
Avenzo Water Plant,Importers,Bottled water supplier,Bottled water supplier,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,5.0,1.0,"FP93+FH6 Ramnagar Colony, Thadi Dulampur, Karnibad, Deoghar, Tharhidalanpur, Jharkhand 814112",Karnibad,24.4684897,86.7036601,ChIJFbJeQgA98TkRTBIjvtiPgmY,https://www.google.com/maps/place/?q=place_id:ChIJFbJeQgA98TkRTBIjvtiPgmY,part_381,2026-09-20 20:19:58,4282
Saroj Fan Industries,Importers,Manufacturer,Manufacturer,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 91999 52286,N/A,3.0,2.0,"Baidyanathdham Railway Station Rd, Bompas Town, Deoghar, Jharkhand 814112",Bompas Town,24.490286299999998,86.6949607,ChIJ6-JCub8X8TkRnvFHPZIvp10,https://www.google.com/maps/place/?q=place_id:ChIJ6-JCub8X8TkRnvFHPZIvp10,part_381,2026-09-20 20:19:58,4283
Jagdamba Enterprises,Importers,Building materials store,Building materials store,814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,+91 94301 82588,N/A,4.3,,"FMXV+F59, Williams Town, Deoghar, Jharkhand 814112",Williams Town,24.4986727,86.6929976,ChIJk82luC8W8TkRI2ss4xCEvAs,https://www.google.com/maps/place/?q=place_id:ChIJk82luC8W8TkRI2ss4xCEvAs,part_381,2026-09-20 20:20:38,6455
Mahadev Enterprises,Importers,Electronics wholesaler,Electronics wholesaler,814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,N/A,N/A,,,"Vilasi, Bompas Town, Deoghar, Jharkhand 814112","Vilasi, Bompas Town",24.485111,86.6948226,ChIJpdkWiOE98TkRyA3zii2Ie5A,https://www.google.com/maps/place/?q=place_id:ChIJpdkWiOE98TkRyA3zii2Ie5A,part_381,2026-09-20 20:20:38,6456
