business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Babies,Kids Wear Store,Baby clothing store,"Baby clothing store, Baby store",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 79923 14161,N/A,3.0,,"Agrasen Chowk, Main Rd Simdega, Ghocho Toli, Simdega, Jharkhand 835223",Ghocho Toli,22.6109963,84.5018139,ChIJBS6c-t6dijkRP2NkPubKZCs,https://www.google.com/maps/place/?q=place_id:ChIJBS6c-t6dijkRP2NkPubKZCs,part_390,2026-09-20 20:19:29,552
Divya Dresses kolebira,Kids Wear Store,Clothing store,Clothing store,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 79090 28580,N/A,3.8,,"MMXW+669, Kolebira, Jharkhand 835211",835223,22.698027699999997,84.6955971,ChIJnXeYsJikijkRIpflzE_WD8A,https://www.google.com/maps/place/?q=place_id:ChIJnXeYsJikijkRIpflzE_WD8A,part_390,2026-09-20 20:19:29,553
Manpasand home decor,Kids Wear Store,Furniture accessories,"Furniture accessories, Furniture Manufacturer, Furniture store",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 80842 22262,https://www.instagram.com/manpasand__home__decor?igsh=MXFwbHhrczY0dTMwMQ==,5.0,,"Honda showroom ke uper floor me, Main Rd Simdega, opp. Biru Complex, Baraik, Simdega, Jharkhand 835223",Baraik,22.619868399999998,84.502297,ChIJTxMiAB-dijkRoIujFG4bCOw,https://www.google.com/maps/place/?q=place_id:ChIJTxMiAB-dijkRoIujFG4bCOw,part_390,2026-09-20 20:19:29,554
Children's Paradise School,Kids Wear Store,Educational institution,Educational institution,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 93341 91314,N/A,4.7,,"JFHX+9CV, Thakurtoli, Baraik, Simdega, Jharkhand 835223","Thakurtoli, Baraik",22.6284873,84.4985574,ChIJ____P4ubijkRw1EaaBGDGhk,https://www.google.com/maps/place/?q=place_id:ChIJ____P4ubijkRw1EaaBGDGhk,part_390,2026-09-20 20:19:29,555
Radha Chudi store,Kids Wear Store,Bangle Shop,"Bangle Shop, Beauty Products Wholesaler, General store",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 62011 10992,https://www.instagram.com/radhachudistore?stkn=ZTB4NHN0cjJuanU0,4.8,,"Ram-Janki Road, Shyam Path, Simdega, Jharkhand 835223","Main Town, Ghocho Toli",22.6115867,84.5036681,ChIJATbYCA2cijkR7IXPuacSXpc,https://www.google.com/maps/place/?q=place_id:ChIJATbYCA2cijkR7IXPuacSXpc,part_390,2026-09-20 20:19:29,556
Shashi Cycle Store,Kids Wear Store,Motorcycle shop,"Motorcycle shop, Bicycle Shop",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 86172 61081,N/A,4.5,,"Main Rd, Niche Bazar, Officers Colony, Simdega, Jharkhand 835223","Niche Bazar, Officers Colony",22.6070764,84.5014554,ChIJj_-90hKcijkRjP2JxZLH9EA,https://www.google.com/maps/place/?q=place_id:ChIJj_-90hKcijkRjP2JxZLH9EA,part_390,2026-09-20 20:19:29,557
SWASTIK LADIES & KIDS WEAR,Kids Wear Store,Clothing store,Clothing store,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,5.0,,"Main Road, opposite Utkal Restaurant, Purani Toli, Jashpur Nagar, Chhattisgarh 496331",Purani Toli,22.8832064,84.1380887,ChIJCW3oZm9nijkRuD7fCI2-juw,https://www.google.com/maps/place/?q=place_id:ChIJCW3oZm9nijkRuD7fCI2-juw,part_390,2026-09-20 20:19:29,558
Rajgharana NXT,Kids Wear Store,Children's clothing store,"Children's clothing store, Baby clothing store, Bridal shop, Clothing store, Cosmetics store, Dress store, Formal Clothing Store, Men's clothing store, Western apparel store, Youth clothing store",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 84096 93970,http://www.rajgharananxt.com/,4.8,77.0,"Rajgharana NXT, Kutchery Rd, near HK Petrol Pump, opposite Block Office, Ali Abbas Nagar, Garhwa, Jharkhand 822114",Ali Abbas Nagar,24.158694999999998,83.79707189999999,ChIJV0ADIQAPjDkRQM1KjIwtZkU,https://www.google.com/maps/place/?q=place_id:ChIJV0ADIQAPjDkRQM1KjIwtZkU,part_390,2026-09-20 20:19:30,559
MS KIDS WEAR,Kids Wear Store,Shopping mall,Shopping mall,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 91556 77479,N/A,,,"Arsh palace, Thana Rd, near Muslim hotel ke samne, Gumla, Jharkhand 835207",835224,23.0423644,84.5434727,ChIJ5Tt3ZtTpijkRq6K5FcTlQOQ,https://www.google.com/maps/place/?q=place_id:ChIJ5Tt3ZtTpijkRq6K5FcTlQOQ,part_390,2026-09-20 20:20:10,4593
Popular Dresses,Kids Wear Store,Clothing store,Clothing store,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",N/A,N/A,4.3,,"2GRR+M6H, mahavir chowk /patel chowk, Jharkhand 835207",835224,23.0416863,84.5406038,ChIJrVXAeB7pijkRwkUC_QnImXo,https://www.google.com/maps/place/?q=place_id:ChIJrVXAeB7pijkRwkUC_QnImXo,part_390,2026-09-20 20:20:10,4594
