business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Shagun Boutique,Boutiques,Boutique,"Boutique, Tailor, Women's clothing store",829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 83407 51577,N/A,5.0,,"Sector-6 Market, Bokaro Steel City, Jharkhand 827006","Sector 6A, Sector-6/C",23.6772293,86.1741392,ChIJVRGLkqYj9DkR9xf01ySLqs4,https://www.google.com/maps/place/?q=place_id:ChIJVRGLkqYj9DkR9xf01ySLqs4,part_387,2026-09-20 20:19:23,988
Anokhi Boutique,Boutiques,Boutique,Boutique,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 90608 28627,N/A,2.6,,"Patel Market, Check Post , Chas, near Cozy Sweets, Bokaro Steel City, Jharkhand 827013",Ramnagar Colony,23.6378158,86.1610287,ChIJlyXc5jQj9DkRt-n-lwpH040,https://www.google.com/maps/place/?q=place_id:ChIJlyXc5jQj9DkRt-n-lwpH040,part_387,2026-09-20 20:19:23,989
Khoobsurat Apparels Pvt Ltd,Boutiques,Clothing store,Clothing store,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 70919 08380,N/A,3.5,,"E-16, near Bank of India, City Center, Sector 4, Bokaro Steel City, Jharkhand 827004","City Center, Sector 4",23.668195299999997,86.14328929999999,ChIJXdjkPbMj9DkRVGVV1GuPDuA,https://www.google.com/maps/place/?q=place_id:ChIJXdjkPbMj9DkRVGVV1GuPDuA,part_387,2026-09-20 20:19:23,990
Boutique and Stitch,Boutiques,Boutique,Boutique,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 85819 93968,N/A,5.0,1.0,"Boutique And Stitch, Sainik Palace, Ali Nagar, Bokaro Steel City, Jharkhand 827013",Ali Nagar,23.6619527,86.17056629999999,ChIJbVHwR4Ej9DkRCONfuwGWGXU,https://www.google.com/maps/place/?q=place_id:ChIJbVHwR4Ej9DkRCONfuwGWGXU,part_387,2026-09-20 20:19:23,991
CITI STYLE,Boutiques,Shopping mall,Shopping mall,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 74888 25578,https://citistyle.in/,4.8,4126.0,"P.S. Bermo, 32B, Rahimganj Pushro , Post - Dhori, Phusro, Jharkhand 825102",Rahimganj,23.7653231,85.9914458,ChIJIZi7nzcV9DkRWHjHV8QosBk,https://www.google.com/maps/place/?q=place_id:ChIJIZi7nzcV9DkRWHjHV8QosBk,part_387,2026-09-20 20:19:23,992
M.S. Boutique ladies tailors,Boutiques,Tailor,Tailor,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",N/A,N/A,4.0,4.0,"QX8Q+J6P, Phusro, Jharkhand 825102",829104,23.766680299999997,85.9880792,ChIJjWocaQAV9DkRCQTT9hIfD0k,https://www.google.com/maps/place/?q=place_id:ChIJjWocaQAV9DkRCQTT9hIfD0k,part_387,2026-09-20 20:19:24,993
Eastman Dealer - Durga Electronics,Boutiques,Battery Store,"Battery Store, Battery Wholesaler, Solar energy system service, Solar energy equipment supplier, Solar panel maintenance service",829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 80 6290 5320,https://eastman-dealers.eaplworld.com/near-me/bokaro-steel-city/Jaridih-Bazar/eastman-dealer-durga-electronics-in-Jaridih-Bazar-bokaro-steel-city--GnOqyQ/home,5.0,1.0,"No 558B, Chalkari Basti, Gurudwara Gali, Jaridih Bazar, Bokaro Steel City, Jharkhand 829114",829104,23.7516224,85.9499183,ChIJM4E9ft8V9DkRu5klRkipdME,https://www.google.com/maps/place/?q=place_id:ChIJM4E9ft8V9DkRu5klRkipdME,part_387,2026-09-20 20:19:25,994
Modify gifts and home decor,Boutiques,Gift shop,Gift shop,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 77648 39191,N/A,4.6,12.0,"VILL-LADI, PO-BHURKUNDA, BAZAR, PS, Patratu, Jharkhand 829105",829105,23.6356541,85.3681175,ChIJl3gE1Vzt9DkRl_g6gqhctgQ,https://www.google.com/maps/place/?q=place_id:ChIJl3gE1Vzt9DkRl_g6gqhctgQ,part_387,2026-09-20 20:20:01,5858
Z fashion bazaar,Boutiques,Clothing store,Clothing store,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 92042 68631,N/A,5.0,18.0,"B.k complex, main road, chitarpur, Chitarpur, Jharkhand 825101",chitarpur,23.5751127,85.6529619,ChIJq9FGDQBZ9DkRZgDSs83IDJ0,https://www.google.com/maps/place/?q=place_id:ChIJq9FGDQBZ9DkRZgDSs83IDJ0,part_387,2026-09-20 20:20:01,5859
Manyavar,Boutiques,Men's clothing store,"Men's clothing store, Clothing store, Designer Clothing Store, Clothing Accessories Store, Wedding store",829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 80 3700 2521,https://www.manyavar.com/en-in/store-india/jharkhand/ramgarh/manyavar-ramgarh-VFPLSIRG,4.9,,"Gr & 1st Flr, Sita Ram Plaza, Bazaar Tand, Gola Rd, opposite V Mart, Ramgarh Cantonment, Jharkhand 829122",829105,23.627468399999998,85.5245104,ChIJ0Sn-fGT19DkR9rE9fAGrTRo,https://www.google.com/maps/place/?q=place_id:ChIJ0Sn-fGT19DkR9rE9fAGrTRo,part_387,2026-09-20 20:20:02,5860
