business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Hong Kong Chinese Fast Food,Restaurant Chains,Fast food restaurant,"Fast food restaurant, Chinese restaurant",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 98010 30977,N/A,4.2,391.0,"beside River View, River View, Prakash Nagar, Telco Colony, Jamshedpur, Jharkhand 831004","River View, Prakash Nagar, Telco Colony",22.7775414,86.268253,ChIJX8Detw8I9jkREOg6GcMcIPs,https://www.google.com/maps/place/?q=place_id:ChIJX8Detw8I9jkREOg6GcMcIPs,part_388,2026-09-20 20:19:21,829
Junction Express(Sakchi) - Restaurant In Jamshedpur,Restaurant Chains,North Indian restaurant,"North Indian restaurant, Asian restaurant, Biryani restaurant, Indian restaurant, Swiss restaurant, Vegan restaurant",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 95700 47222,https://junctionrestaurant104.com/about/,4.0,2126.0,"Gurudwara Complex, 15/1, New Kalimati Rd, opposite Sakchi, Jamshedpur, Jharkhand 831001","Hirasingh Bagan, Kasidih",22.8010916,86.2070895,ChIJT9spRd3j9TkRSHjVdXYxoNY,https://www.google.com/maps/place/?q=place_id:ChIJT9spRd3j9TkRSHjVdXYxoNY,part_388,2026-09-20 20:19:21,830
Mahamaya Bhojanalaya,Restaurant Chains,Restaurant,Restaurant,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",N/A,N/A,3.7,340.0,"Srivastav building, Main Road, Gamharia, Jamshedpur, Jharkhand 832108",Gamharia,22.8161311,86.10127709999999,ChIJg1Otogjl9TkRgWG4UA6bapE,https://www.google.com/maps/place/?q=place_id:ChIJg1Otogjl9TkRgWG4UA6bapE,part_388,2026-09-20 20:19:21,831
Barbeque Nation,Restaurant Chains,Barbecue restaurant,"Barbecue restaurant, Restaurant",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 80 6405 8007,https://www.barbequenation.com/restaurants/jamshedpur/contractors-area-bistupur?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_content=jamshedpur-contractors-area-bistupur,4.5,1633.0,"Contractors Area, Bistupur, Jamshedpur, Jharkhand 831001","Contractors Area, Bistupur",22.7991144,86.1808795,ChIJm7fENXTj9TkRN41A-HCQEQM,https://www.google.com/maps/place/?q=place_id:ChIJm7fENXTj9TkRN41A-HCQEQM,part_388,2026-09-20 20:19:21,832
Meraki Culinary Bar & Kitchen,Restaurant Chains,North Indian restaurant,"North Indian restaurant, Restaurant",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 97099 40100,N/A,4.8,2777.0,"N.H -33, Tata- Ranchi highway, Asan Bani, Jamshedpur, Jharkhand 832401",831004,22.8761196,86.1926512,ChIJlVmIvqLh9TkRInsYkts-B0A,https://www.google.com/maps/place/?q=place_id:ChIJlVmIvqLh9TkRInsYkts-B0A,part_388,2026-09-20 20:19:21,833
The 90’s Era,Restaurant Chains,North Indian restaurant,North Indian restaurant,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 99056 41020,N/A,4.2,220.0,"Dvc More, Tata kandra Main Road, near Narbheram Honda, Shridungri, Gamharia, Jamshedpur, Jharkhand 832109","Shridungri, Gamharia",22.804536499999998,86.1221784,ChIJFQ0d_KPl9TkRFscAMsvHBrk,https://www.google.com/maps/place/?q=place_id:ChIJFQ0d_KPl9TkRFscAMsvHBrk,part_388,2026-09-20 20:19:21,834
Biggies Burger : Vijaya Garden,Restaurant Chains,Fast food restaurant,"Fast food restaurant, Hamburger restaurant, Restaurant",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 98018 02999,http://www.biggiesburger.com/,4.4,328.0,"SHOP NO 5001, ANNAPURNA SHOPPING CENTRE, VIJAYA GARDENS, BARIDIH, Birsanagar, Jamshedpur, Jharkhand 831017","BARIDIH, Birsanagar",22.8001225,86.262889,ChIJ6xSu4GoJ9jkRjDOzghZXqxI,https://www.google.com/maps/place/?q=place_id:ChIJ6xSu4GoJ9jkRjDOzghZXqxI,part_388,2026-09-20 20:19:21,835
Fusion Restaurant,Restaurant Chains,North Indian restaurant,"North Indian restaurant, Crab house, Fast food restaurant, Non Vegetarian Restaurant, Vegetarian restaurant",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 89875 65535,N/A,4.1,702.0,"Straight Mile Rd, Kasidih, Jamshedpur, Jharkhand 831001",Kasidih,22.8043618,86.2139448,ChIJq2GF1tDj9TkRNmBbQGriREQ,https://www.google.com/maps/place/?q=place_id:ChIJq2GF1tDj9TkRNmBbQGriREQ,part_388,2026-09-20 20:19:21,836
The Blue Diamond Restaurant,Restaurant Chains,Indian restaurant,"Indian restaurant, Chinese restaurant",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 657 224 9190,N/A,4.0,3166.0,"1st Floor, Crystal Square, Kharkai Link Rd, beside Ram Krishna Mission School, Ram Das Bhatta, Bistupur, Jamshedpur, Jharkhand 831001","Ram Das Bhatta, Bistupur",22.794429299999997,86.1778501,ChIJ03rFeGHj9TkRoLNaJxK5JJM,https://www.google.com/maps/place/?q=place_id:ChIJ03rFeGHj9TkRoLNaJxK5JJM,part_388,2026-09-20 20:19:21,837
Tammasha,Restaurant Chains,North Indian restaurant,North Indian restaurant,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 72800 12004,https://www.instagram.com/tammasha_jsr/,4.7,2315.0,"Bindal Mall, Marine Dr Rd, near Domuhani Bridge, Ashiana Gardens, Sonari, Jamshedpur, Jharkhand 831011","Ashiana Gardens, Sonari",22.8284254,86.1771809,ChIJvwJZkPHj9TkRLKf4t5iEtr4,https://www.google.com/maps/place/?q=place_id:ChIJvwJZkPHj9TkRLKf4t5iEtr4,part_388,2026-09-20 20:19:21,838
Noodle express,Restaurant Chains,Chinese restaurant,"Chinese restaurant, Momo restaurant",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 93139 40608,N/A,3.7,13.0,"House no 286, 1 b, near viswakarma store, Zone No -3, Jaher Tola, Birsanagar, Jamshedpur, Jharkhand 831004","Zone No -3, Jaher Tola, Birsanagar",22.794803299999998,86.2516468,ChIJB9p8_4YJ9jkRJYdNpEKjBKA,https://www.google.com/maps/place/?q=place_id:ChIJB9p8_4YJ9jkRJYdNpEKjBKA,part_388,2026-09-20 20:19:21,839
Double D cafe & Restro,Restaurant Chains,Indian restaurant,"Indian restaurant, Biryani restaurant, Chinese restaurant, South Indian restaurant",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 98352 39396,N/A,4.8,81.0,"Madhu Bazar Road, Chaibasa, Jharkhand 833201",831004,22.5479111,85.8022799,ChIJJ-8WUgAnHjoRLm0Itmo0Qro,https://www.google.com/maps/place/?q=place_id:ChIJJ-8WUgAnHjoRLm0Itmo0Qro,part_388,2026-09-20 20:19:21,840
