business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Royal Retreat chaibasa,Pure Veg Restaurant,Restaurant,Restaurant,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 93049 74380,N/A,4.6,,"Tata Road, Dobrosai, Chaibasa, Jharkhand 833204",833215,22.5520757,85.83660789999999,ChIJg9NaRZUnHjoRWzDupGY_Gsk,https://www.google.com/maps/place/?q=place_id:ChIJg9NaRZUnHjoRWzDupGY_Gsk,part_389,2026-09-20 20:19:21
The Rasoi...,Pure Veg Restaurant,Restaurant,Restaurant,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,4.4,,"The Rasoi, Jagannathpur, Jharkhand 833203",833215,22.228992899999998,85.6396556,ChIJ9eJ9F981HjoRspYfpOE0JXQ,https://www.google.com/maps/place/?q=place_id:ChIJ9eJ9F981HjoRspYfpOE0JXQ,part_389,2026-09-20 20:19:21
Down Town Cafe & Restaurant,Pure Veg Restaurant,Family restaurant,Family restaurant,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,3.6,,"GRJ3+HMH, Chaibasa, Gitilpi, Jharkhand 833201",833215,22.531172299999998,85.80453829999999,ChIJ-QgjcvYnHjoR9kTQnQQxMzQ,https://www.google.com/maps/place/?q=place_id:ChIJ-QgjcvYnHjoR9kTQnQQxMzQ,part_389,2026-09-20 20:19:21
TAMBO JUNCTION MULTI-CUISINE RESTAURANT,Pure Veg Restaurant,Fast food restaurant,Fast food restaurant,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 92416 39856,N/A,4.4,,"Tambo Chowk, Jharkhand 833201",833215,22.533936999999998,85.819435,ChIJZ9EVefQnHjoRR4QnO1M9P1c,https://www.google.com/maps/place/?q=place_id:ChIJZ9EVefQnHjoRR4QnO1M9P1c,part_389,2026-09-20 20:19:21
The Garden Inn,Pure Veg Restaurant,North Indian restaurant,North Indian restaurant,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,4.0,,"Basa, Tonto, Chaibasa, Jharkhand 833201",Basa,22.5711209,85.7989964,ChIJTTJkYqyJ9TkRvBGpYqIf10E,https://www.google.com/maps/place/?q=place_id:ChIJTTJkYqyJ9TkRvBGpYqIf10E,part_389,2026-09-20 20:19:21
appy hours,Pure Veg Restaurant,Restaurant,Restaurant,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 74630 30989,N/A,4.1,,"Madhu Bazar Road, Chaibasa, Jharkhand 833201",833215,22.5481907,85.8030849,ChIJtxbZX34nHjoRO6U2uQyTJNk,https://www.google.com/maps/place/?q=place_id:ChIJtxbZX34nHjoRO6U2uQyTJNk,part_389,2026-09-20 20:19:21
Sapthagiri Bhojanam,Pure Veg Restaurant,South Indian restaurant,South Indian restaurant,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,5.0,21.0,"NH 18, near Shree Maharaj Auto Centre, Dhalbhumgarh, Charchaka, Jharkhand 832302",833215,22.5099834,86.5544896,ChIJd_0UmB31HToR3CWh28wjVTU,https://www.google.com/maps/place/?q=place_id:ChIJd_0UmB31HToR3CWh28wjVTU,part_389,2026-09-20 20:19:22
KANHA PURE VEG FOOD PARK,Pure Veg Restaurant,Restaurant,Restaurant,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 79797 61753,N/A,4.8,5706.0,"Dumri, Jamtara, Jharkhand 825106",833215,23.994781999999997,86.0126465,ChIJnYm51QcP9DkR8xiYAZ5DJko,https://www.google.com/maps/place/?q=place_id:ChIJnYm51QcP9DkR8xiYAZ5DJko,part_389,2026-09-20 20:19:22
Hotel Saffron Suites,Pure Veg Restaurant,Home Stay,Home Stay,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 70048 06924,http://www.hsscbsa.com/,4.2,1894.0,"College More, Matkamhatu, Chaibasa, Jharkhand 833201",833215,22.524688299999998,85.80858359999999,ChIJfS3cRQcnHjoRWUGVIjtinGo,https://www.google.com/maps/place/?q=place_id:ChIJfS3cRQcnHjoRWUGVIjtinGo,part_389,2026-09-20 20:19:22
Ramya Pure Veg Restaurant,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 62066 39522,N/A,4.3,,"Ground Floor, Patwari Villa, Straight Mile Rd, Bhalubasa, Jamshedpur, Jharkhand 831009",Bhalubasa,22.804026,86.2190581,ChIJtWTUTADj9TkRN3nUPQyO5Fs,https://www.google.com/maps/place/?q=place_id:ChIJtWTUTADj9TkRN3nUPQyO5Fs,part_389,2026-09-20 20:19:23
