business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Sonu enterprises pananiyan,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,3.0,,"FJVR+9MH, Pananiya, Bihar 824217",824206,24.493436499999998,84.6417275,ChIJu2swaADBjDkRKvyjhxmASYI,https://www.google.com/maps/place/?q=place_id:ChIJu2swaADBjDkRKvyjhxmASYI,part_384,2026-09-20 20:19:46,4927
MISTER MOBILE & ELECTRONICS,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 95253 00972,N/A,5.0,,"BAJAR, NEW MARKET, Amas, Bihar 824219",NEW MARKET,24.6195958,84.65606849999999,ChIJAzuCrKDDjDkR2yCXCkijYgU,https://www.google.com/maps/place/?q=place_id:ChIJAzuCrKDDjDkR2yCXCkijYgU,part_384,2026-09-20 20:19:46,4928
N.K. Mobiles,Mobile Phone Sales and Repair,Electronics store,Electronics store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,5.0,,"Nawdih, Hunterganj, Nawadih, Jharkhand 825414",Nawdih,24.4352929,84.8156199,ChIJbXY2JTbJjDkRGkxZp8o9d_8,https://www.google.com/maps/place/?q=place_id:ChIJbXY2JTbJjDkRGkxZp8o9d_8,part_384,2026-09-20 20:19:46,4929
Sneha Computer Press mobile sale & service,Mobile Phone Sales and Repair,Cell phone accessory store,Cell phone accessory store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,5.0,,"JM94+M4Q, Amas, Bihar 824219",824206,24.6192246,84.6553618,ChIJifrBKtPcjDkR3SLTWafUYZ4,https://www.google.com/maps/place/?q=place_id:ChIJifrBKtPcjDkR3SLTWafUYZ4,part_384,2026-09-20 20:19:46,4930
Authorised Samsung Service Center - Priyanshu Mobile Junction,Mobile Phone Sales and Repair,Mobile phone repair shop,"Mobile phone repair shop, Cell phone accessory store, Phone repair service, Repair service",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 73208 36982,https://servicecenter.samsungdigitalservicecenter.com/authorised-samsung-service-center-priyanshu-mobile-junction-mobile-phone-repair-shop-narkatiaganj-west-champaran-538487/Home?utm_source=locator&utm_medium=googleplaces,5.0,,"Ward No 9, opposite Manohar Petrol Pump, Ram Nagar, Narkatiaganj, Bihar 845455",Ram Nagar,27.114016,84.46551199999999,ChIJwzoXHgOdlDkRbY9FysRurvs,https://www.google.com/maps/place/?q=place_id:ChIJwzoXHgOdlDkRbY9FysRurvs,part_384,2026-09-20 20:19:46,4931
J.S ELECTRONICS,Mobile Phone Sales and Repair,Electronics store,Electronics store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 79911 75090,N/A,5.0,,"Ramgarhwa - Rampurwa Road, Rousbaganj, Sherghati, Bihar 824211",Rousbaganj,24.561032899999997,84.7912285,ChIJAS1kXGzPjDkRyjb3IDwY1yk,https://www.google.com/maps/place/?q=place_id:ChIJAS1kXGzPjDkRyjb3IDwY1yk,part_384,2026-09-20 20:19:46,4932
Mitra Telecom || Mobile Accessory Dealer In Bihar | Computer Dealer In Bihar,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Cell phone accessory store, Computer software store",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 97082 05139,N/A,4.9,,"Awadh market , mehsaul, chowk, Sitamarhi, Bihar 843302","Sonavati Colony, chowk",26.5939318,85.5014352,ChIJuWZLgivx7DkR_0hmlbrehjo,https://www.google.com/maps/place/?q=place_id:ChIJuWZLgivx7DkR_0hmlbrehjo,part_384,2026-09-20 20:19:46,4933
mobile palaza Sasamusa,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Mobile phone repair shop",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 95044 65994,N/A,5.0,,"railway station, Sasamusa, Gopalganj, Bihar 841505",824206,26.522976,84.36176359999999,ChIJLZctp9MPkzkRva72bHT4huA,https://www.google.com/maps/place/?q=place_id:ChIJLZctp9MPkzkRva72bHT4huA,part_384,2026-09-20 20:19:46,4934
Aditya Vision,Mobile Phone Sales and Repair,Electronics store,Electronics store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 79 4921 3851,https://stores.adityavision.com/electronics-shops/gaya/Sherghati/aditya-vision-in-Sherghati-gaya--5uL2jP/home,4.7,,"Dak Bunglow Road, nearby Honda Showroom, Purani Chatti Mohalla, Sherghati, Bihar 824211",Purani Chatti Mohalla,24.5581997,84.78813579999999,ChIJex2Xlv3PjDkRPEhfKfF-qZg,https://www.google.com/maps/place/?q=place_id:ChIJex2Xlv3PjDkRPEhfKfF-qZg,part_384,2026-09-20 20:19:46,4935
Rai Mobile Care,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",N/A,N/A,4.9,,"Shiv, Jalpa Bhavani Mandir Rd, near Block, New Colony, 3, Areraj, Bihar 845411","New Colony, 3",26.5506972,84.6655996,ChIJxyR6jLI9kzkR3pf_YoI0-rU,https://www.google.com/maps/place/?q=place_id:ChIJxyR6jLI9kzkR3pf_YoI0-rU,part_384,2026-09-20 20:19:46,4936
Unique Mobile,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 77399 19594,N/A,4.7,,"Wakalat Khana Parisar, Gopalganj, Bihar 841428",Town Thana,26.464910099999997,84.44309419999999,ChIJ-ZGW-M0akzkR2Ypu5RhQP3c,https://www.google.com/maps/place/?q=place_id:ChIJ-ZGW-M0akzkR2Ypu5RhQP3c,part_384,2026-09-20 20:19:46,4937
Ak Mobile,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 98529 97524,N/A,4.9,,"Shyam Cinema Rd, Ward No. 15, Gopalganj, Bihar 841428",Ward No. 15,26.4627601,84.4412668,ChIJHc24OxgbkzkRwR30OkIY1og,https://www.google.com/maps/place/?q=place_id:ChIJHc24OxgbkzkRwR30OkIY1og,part_384,2026-09-20 20:19:46,4938
Nandani Mobile,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 95703 34268,N/A,4.9,,"Areraj - Turkauliya Rd, Areraj, Bihar 845411",824206,26.5508258,84.6739109,ChIJkZJtw549kzkRhlxlyO2PQaU,https://www.google.com/maps/place/?q=place_id:ChIJkZJtw549kzkRhlxlyO2PQaU,part_384,2026-09-20 20:19:46,4939
Maa Enterprises,Mobile Phone Sales and Repair,Store,Store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 98015 32362,N/A,4.9,10.0,"Sherghati, Bihar 824211",824206,24.5653437,84.8045393,ChIJ9e33ABDPjDkRSipTnd4C4rE,https://www.google.com/maps/place/?q=place_id:ChIJ9e33ABDPjDkRSipTnd4C4rE,part_384,2026-09-20 20:19:47,4940
Mobility The Mobile Store,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Cell phone accessory store",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 73670 27777,N/A,4.7,964.0,"Municipal Chowk, Ghazipur - Hajipur Road, Municipality Chowk, near Sai Baba Mandir, Chapra, Bihar 841301",Sadhapur,25.7820187,84.742612,ChIJzxcHDui6kjkRNwalSMsGLug,https://www.google.com/maps/place/?q=place_id:ChIJzxcHDui6kjkRNwalSMsGLug,part_384,2026-09-20 20:19:47,4941
Apna Mobile Bagahi Bazar,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 70797 97945,N/A,3.8,12.0,"H37H+W2X, Bagahi Bazar, Gopalganj District, Katiya, Bihar 841437",824206,26.564861699999998,84.0776243,ChIJ_____2i7kzkRDTeYrQ_xDs4,https://www.google.com/maps/place/?q=place_id:ChIJ_____2i7kzkRDTeYrQ_xDs4,part_384,2026-09-20 20:19:47,4942
ALL MOBILE REPAIRING CENTRE,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 99554 27131,N/A,5.0,70.0,"Tulsi market, Bihta Rd, near police station, Bihta, Bihar 801103",824206,25.5724962,84.8703034,ChIJReUaltSrkjkRgibT2ubO9u0,https://www.google.com/maps/place/?q=place_id:ChIJReUaltSrkjkRgibT2ubO9u0,part_384,2026-09-20 20:19:48,4943
PhoneWaala | Mobile Phone Shop | Patna,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Mobile phone repair shop",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 99056 07591,https://www.instagram.com/phonewaalapatna/,4.7,670.0,"Shop No. G45 (Ground ) V2 Mall, Maharaja Kameshwar Complex, Fraser Road Area, Patna, Bihar 800001",Fraser Road Area,25.6072526,85.1381009,ChIJNXCg3GlZ7TkRIC5tqKlHtfo,https://www.google.com/maps/place/?q=place_id:ChIJNXCg3GlZ7TkRIC5tqKlHtfo,part_384,2026-09-20 20:19:48,4944
M N MOBILE STORE,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 94233 11975,https://m-n-mobile-store.grexa.site/,5.0,132.0,"Unnamed Road, Maheshpur, Bihar 854114",824206,25.604402999999998,87.2869393,ChIJFxQlhYIf8DkREQWQrxtC35w,https://www.google.com/maps/place/?q=place_id:ChIJFxQlhYIf8DkREQWQrxtC35w,part_384,2026-09-20 20:19:48,4945
Sunny Mobile (Multi Brand Mobile Shop in Patna ),Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Cell phone accessory store, Mobile phone repair shop, Training center",824206,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Imamganj SO, Maigra BO, Malahari BO",+91 99340 70148,N/A,4.7,169.0,"Shop No 114, Ashianan, Hariniwas Complex, New Dak Bunglow Rd, Bander Bagicha, Fraser Road Area, Patna, Bihar 800001","Bander Bagicha, Fraser Road Area",25.60981,85.13599699999999,ChIJI-DnrfNZ7TkR44ttKmG7NKk,https://www.google.com/maps/place/?q=place_id:ChIJI-DnrfNZ7TkR44ttKmG7NKk,part_384,2026-09-20 20:19:48,4946
