business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kiaasa - P&M Mall,Luxury Clothing Shops,Clothing store,Clothing store,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 93199 98164,https://kiaasa.com/,4.8,55.0,"Shop no:-S-31 2nd floor, P&M Mall, Outer Cir Rd, Green Enclave, Bistupur, Jamshedpur, Jharkhand 831001","Green Enclave, Bistupur",22.798465,86.1691117,ChIJUS8FJwDj9TkRnBQv6UpQWQk,https://www.google.com/maps/place/?q=place_id:ChIJUS8FJwDj9TkRnBQv6UpQWQk,part_388,2026-09-20 20:19:24
ANAMIKA FASHION,Luxury Clothing Shops,Women's clothing store,Women's clothing store,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 99731 45145,https://www.whatsapp.com/business,4.4,24.0,"near by CHANDINI CHOWK, Gobindpur Colony, Govindpur, Chhota Gobindpur, Jamshedpur, Jharkhand 831015","Gobindpur Colony, Govindpur",22.7549243,86.25608659999999,ChIJaQu291f99TkRAAAAMPlpgAU,https://www.google.com/maps/place/?q=place_id:ChIJaQu291f99TkRAAAAMPlpgAU,part_388,2026-09-20 20:19:24
S Mart,Luxury Clothing Shops,Designer Clothing Store,Designer Clothing Store,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 94319 91890,N/A,4.8,5.0,"H.No153, 4 No road, Birsanagar, Jamshedpur, Jharkhand 831004",Birsanagar,22.7701115,86.2625305,ChIJ2dNWe6wJ9jkRUdgmhJ4Svv4,https://www.google.com/maps/place/?q=place_id:ChIJ2dNWe6wJ9jkRUdgmhJ4Svv4,part_388,2026-09-20 20:19:24
Ribbons and Ties,Luxury Clothing Shops,Designer Clothing Store,Designer Clothing Store,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 91622 43533,N/A,3.7,7.0,"Ground Floor, sanghi mansion, Bistupur Main Rd, beside Skechers Showroom, opp. Ram Mandir, South Park, Bistupur, Jamshedpur, Jharkhand 831001","South Park, Bistupur",22.7880295,86.1839437,ChIJDb0Wi_Tj9TkRaTcKRiSRS1o,https://www.google.com/maps/place/?q=place_id:ChIJDb0Wi_Tj9TkRaTcKRiSRS1o,part_388,2026-09-20 20:19:24
welcon,Luxury Clothing Shops,Fashion designer,"Fashion designer, Clothing store, Clothing supplier, Clothing wholesaler, Designer Clothing Store, Men's clothing store, Stylist",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",N/A,N/A,,,"janta road, gaytri nagar, Barigora, Jamshedpur, Jharkhand 831002","gaytri nagar, Barigora",22.752927399999997,86.2350043,ChIJ-5u2Cnj99TkRgMBv6Ez5AQw,https://www.google.com/maps/place/?q=place_id:ChIJ-5u2Cnj99TkRgMBv6Ez5AQw,part_388,2026-09-20 20:19:24
Anamika Ladies Wear,Luxury Clothing Shops,Women's clothing store,"Women's clothing store, Clothes market",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 87892 74672,N/A,4.8,,"jail road, opposite hotel aakash, opposite of bihar medical, Chaibasa, Jharkhand 833201",831004,22.5504923,85.8070881,ChIJPwmKeJ0nHjoRAAAAMPcTNE4,https://www.google.com/maps/place/?q=place_id:ChIJPwmKeJ0nHjoRAAAAMPcTNE4,part_388,2026-09-20 20:19:24
She fashion boutique,Luxury Clothing Shops,Boutique,Boutique,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 62064 75795,N/A,5.0,,"ward no- 8, Sitla mandir, Chakradharpur, Jharkhand 833102",831004,22.679529,85.6184893,ChIJe48nFuWD9TkRN4rWvUS9Upo,https://www.google.com/maps/place/?q=place_id:ChIJe48nFuWD9TkRN4rWvUS9Upo,part_388,2026-09-20 20:19:24
Style In,Luxury Clothing Shops,Boutique,"Boutique, Women's clothing store",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 82104 22681,N/A,2.3,3.0,"near Aadamatamandir, New Sitaram Dera, Bhalubasa, Jamshedpur, Jharkhand 831009","New Sitaram Dera, Bhalubasa",22.8023676,86.2170125,ChIJ_49lSP3i9TkRcESPhFv2AQo,https://www.google.com/maps/place/?q=place_id:ChIJ_49lSP3i9TkRcESPhFv2AQo,part_388,2026-09-20 20:19:25
Classic Boutique,Luxury Clothing Shops,Boutique,Boutique,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 90066 88548,N/A,5.0,1.0,"10/A, Sidhgora, Jamshedpur, Jharkhand 831009",Sidhgora,22.7991147,86.2261905,ChIJ0eVREmDj9TkRHad2LpEWEuQ,https://www.google.com/maps/place/?q=place_id:ChIJ0eVREmDj9TkRHad2LpEWEuQ,part_388,2026-09-20 20:19:25
Maa Parvati Collection A wide range of ladies fashion shop,Luxury Clothing Shops,Fashion designer,Fashion designer,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",N/A,N/A,,,"Gobindpur Colony, Khankripara, Jamshedpur, Chhota Gobindpur, Jharkhand 831004","Gobindpur Colony, Khankripara",22.745966499999998,86.25395189999999,ChIJBSpWl3X99TkR8IjYt7d2sl8,https://www.google.com/maps/place/?q=place_id:ChIJBSpWl3X99TkR8IjYt7d2sl8,part_388,2026-09-20 20:19:25
GK Traders,Luxury Clothing Shops,Clothing store,"Clothing store, Children's clothing store, Clothing wholesaler, Clothing supplier, Jeans shop, Designer Clothing Store, Formal Clothing Store, Men's clothing store, T-shirt store, Youth clothing store",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 70505 00444,http://gktraders.co.in/,4.4,,"beside State Bank of India, Mahtopara, Jugsalai, Jamshedpur, Jharkhand 831006","Mahtopara, Jugsalai",22.776919499999998,86.18499299999999,ChIJ2b9KtKnj9TkRPqHRDAlGHB8,https://www.google.com/maps/place/?q=place_id:ChIJ2b9KtKnj9TkRPqHRDAlGHB8,part_388,2026-09-20 20:19:25
New Jain Readymade Stores,Luxury Clothing Shops,Clothing store,Clothing store,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 657 229 0669,https://newjainreadymade.wixsite.com/new-jain-readymade,4.8,,"Ground Floor, Sokhi Apartment, Station Rd, near Ghora Chowk, Kumar Chowk, Jugsalai, Jamshedpur, Jharkhand 831006","Kumar Chowk, Jugsalai",22.7722789,86.19200149999999,ChIJv_Rl6Krj9TkREaoSwupftqQ,https://www.google.com/maps/place/?q=place_id:ChIJv_Rl6Krj9TkREaoSwupftqQ,part_388,2026-09-20 20:19:25
PEHNAWA,Luxury Clothing Shops,Clothing store,Clothing store,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",N/A,N/A,4.7,,"Pila kothi, Station Rd, Kumar Chowk, Jugsalai, Jamshedpur, Jharkhand 831002","Kumar Chowk, Jugsalai",22.7713391,86.1945046,ChIJPQOhpKfj9TkRrKakIyhHPhw,https://www.google.com/maps/place/?q=place_id:ChIJPQOhpKfj9TkRrKakIyhHPhw,part_388,2026-09-20 20:19:25
Bansiwala,Luxury Clothing Shops,Clothing store,"Clothing store, Children's clothing store, Men's clothing store, Women's clothing store",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 73197 17649,N/A,4.0,,"Road, Marwari Para, Jugsalai, Jamshedpur, Jharkhand 831006","Marwari Para, Jugsalai",22.773912,86.1854999,ChIJEWRVKk7j9TkRNoaUqxgFg0A,https://www.google.com/maps/place/?q=place_id:ChIJEWRVKk7j9TkRNoaUqxgFg0A,part_388,2026-09-20 20:19:25
