business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Avnika DigiTech,Industrial Equipment Suppliers,Industrial equipment supplier,Industrial equipment supplier,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 99163 27866,https://avnikadigitech.com/,4.0,1.0,"B/36, B Rd, Adarsh Nagar, Bagun Nagar, Jamshedpur, Jharkhand 831017","Adarsh Nagar, Bagun Nagar",22.8052425,86.2451377,ChIJt5_IJ6Hj9TkRKX1vyU8-SZs,https://www.google.com/maps/place/?q=place_id:ChIJt5_IJ6Hj9TkRKX1vyU8-SZs,part_388,2026-09-20 20:19:49
G S Industrial Solutions,Industrial Equipment Suppliers,Hydraulic equipment supplier,Hydraulic equipment supplier,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 93047 10532,N/A,5.0,1.0,"Shailputri, Vastuvihar, Duplex#29, Baridih, Jamshedpur, Jharkhand 831017","Vastu Vihar, Vijaya Gardens, Baridih",22.801763899999997,86.2605202,ChIJGzGdzOwJ9jkRAu4epdRNo88,https://www.google.com/maps/place/?q=place_id:ChIJGzGdzOwJ9jkRAu4epdRNo88,part_388,2026-09-20 20:19:49
Aspro metallics Pvt Ltd,Industrial Equipment Suppliers,Machinery parts manufacturer,Machinery parts manufacturer,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 62043 77539,N/A,4.4,7.0,"House number 82, New Tata Line, Golmuri, Jamshedpur, Jharkhand 831009",Golmuri,22.791636399999998,86.2262504,ChIJFdRXlSnj9TkRbgtC2WfJuuU,https://www.google.com/maps/place/?q=place_id:ChIJFdRXlSnj9TkRbgtC2WfJuuU,part_388,2026-09-20 20:19:49
Reliable vahan udyog pvt ltd,Industrial Equipment Suppliers,Industrial equipment supplier,Industrial equipment supplier,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",N/A,N/A,,,"NH-33, near ELEPHANT UNDER PASS, RAMGARH, Jamshedpur, Jagannathpur, Jharkhand 832401",RAMGARH,22.8181591,86.29157889999999,ChIJxzuhLDAJ9jkReFLLl1fsuZU,https://www.google.com/maps/place/?q=place_id:ChIJxzuhLDAJ9jkReFLLl1fsuZU,part_388,2026-09-20 20:19:49
JSR Industrial Services,Industrial Equipment Suppliers,Safety equipment supplier,Safety equipment supplier,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",N/A,N/A,,,"48A, Bamangor, po, near Kalimandir, Sarjamda, Jamshedpur, Jharkhand 831002","Sarjamda, Parsudih",22.757714099999998,86.23073389999999,ChIJGc1hLk399TkRcn0SSlGaysU,https://www.google.com/maps/place/?q=place_id:ChIJGc1hLk399TkRcn0SSlGaysU,part_388,2026-09-20 20:19:49
MU Industrial Solutions,Industrial Equipment Suppliers,Industrial equipment supplier,Industrial equipment supplier,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",N/A,https://muindustrialsolutions.in/,,,"Holding No: -64, Kamdhenu Road Garurbasa, behind Shiv Mandir Road, P.O – Telco, Birsanagar, Hurlung, Jamshedpur, Jharkhand 831004","P.O – Telco, Birsanagar",22.779032299999997,86.272256,ChIJn7QJyP4J9jkRZ-DL5HKeqSA,https://www.google.com/maps/place/?q=place_id:ChIJn7QJyP4J9jkRZ-DL5HKeqSA,part_388,2026-09-20 20:19:49
ORIENTAL ENGG COMPLEX(INDIA),Industrial Equipment Suppliers,Hydraulic equipment supplier,Hydraulic equipment supplier,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 90317 84900,http://www.hydraulicmachines.co.in/,5.0,3.0,"Zone no-9, 4, Road No. 3, Birsanagar, Jamshedpur, Jharkhand 831019",Birsanagar,22.782779299999998,86.2481255,ChIJFRS41Qfj9TkRlyvVasy6v-w,https://www.google.com/maps/place/?q=place_id:ChIJFRS41Qfj9TkRlyvVasy6v-w,part_388,2026-09-20 20:19:49
Maa Banbhori Traders - Farm Equipment & Tractor Implements,Industrial Equipment Suppliers,Farm equipment supplier,Farm equipment supplier,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",N/A,N/A,5.0,8.0,"Bhilai Pahari, NH-33, opp. Eicher Truck Showroom, Jamshedpur, Jagannathpur, Jharkhand 831012",831004,22.8173657,86.29197719999999,ChIJGYT-V6QJ9jkRb9CTSJG4ELo,https://www.google.com/maps/place/?q=place_id:ChIJGYT-V6QJ9jkRb9CTSJG4ELo,part_388,2026-09-20 20:19:49
Jetro sales,Industrial Equipment Suppliers,Industrial equipment supplier,Industrial equipment supplier,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 94311 84700,http://www.jetrosales.com/,4.4,18.0,"R1A, Bala Prasad Tower, South Park, Bistupur, Jamshedpur, Jharkhand 831001","South Park, Bistupur",22.789109399999997,86.1828773,ChIJAVxNfmfj9TkRT5RlZISN_RA,https://www.google.com/maps/place/?q=place_id:ChIJAVxNfmfj9TkRT5RlZISN_RA,part_388,2026-09-20 20:19:49
Del Star Enterprises,Industrial Equipment Suppliers,Industrial equipment supplier,"Industrial equipment supplier, Cleaning products supplier",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",N/A,N/A,,,"Shop no 10, Madhusudan Madhur Jeevan Complex, Namda Basti, Jamshedpur, Jharkhand 831003",Namda Basti,22.7773628,86.2241007,ChIJCTZHxNbj9TkRMIAeWgujHgg,https://www.google.com/maps/place/?q=place_id:ChIJCTZHxNbj9TkRMIAeWgujHgg,part_388,2026-09-20 20:19:49
